"journal_title","scopus_yes","oa_yes","dim_yes"
"Atlantic Economic Journal",1,0,0
"Atmosphere",1,0,1
"Atmospheric Chemistry and Physics",1,0,1
"Atmospheric Environment",1,1,1
"Atmospheric Pollution Research",1,1,0
"Atmospheric chemistry and physics",0,1,0
"Auk",1,0,0
"Australian Forestry",1,0,0
"Australian Journal of Agricultural and Resource Economics",1,1,0
"Australian Journal of Anthropology",1,0,0
"Australian Journal of Crop Science",1,0,0
"Avian Conservation and Ecology",1,0,0
"Avian Diseases",1,0,0
"BMC Geriatrics",1,0,0
"BMC Infectious Diseases",1,0,0
"BMC Public Health",1,1,1
"BMC Research Notes",1,1,0
"BMC Veterinary Research",1,1,1
"BMS Bulletin of Sociological Methodology/ Bulletin de Methodologie Sociologique",1,0,0
"Baltic Journal of Modern Computing",1,0,0
"Bio-based and Applied Economics",1,1,0
"BioEnergy Research",0,0,1
"BioMed Research International",1,0,0
"BioPhysical Economics and Resource Quality",0,1,0
"BioResources",1,0,0
"BioScience",0,1,1
"Biochar",0,1,1
"Biocontrol Science and Technology",0,0,1
"Biodiversity and Conservation",1,0,1
"Bioenergy Research",1,0,1
"Bioethics",0,0,1
"Biofuels",1,0,1
"Biofuels Bioproducts and Biorefining",1,0,1
"Biogeochemistry",1,1,1
"Biogeosciences",1,0,1
"Biointerphases",0,0,1
"Biological Agriculture & Horticulture",0,0,1
"Biological Agriculture and Horticulture",1,0,0
"Biological Conservation",1,1,1
"Biological Invasions",1,1,0
"Biology",1,0,0
"Biology and Environment",1,0,0
"Biomass Conversion and Biorefinery",1,0,0
"Biomass and Bioenergy",1,0,1
"Biophysical Economics and Sustainability",0,0,1
"Bioresource Technology Reports",0,0,1
"Biosystems Engineering",1,0,0
"Bodenkultur",1,0,0
"Boletim de Ciencias Geodesicas",1,0,0
"Bragantia",1,0,0
"British Food Journal",1,0,1
"Building and Landscapes",1,0,0
"Built Heritage",1,0,1
"Bulletin of Environmental Contamination and Toxicology",1,0,0
"Bulletin of Indonesian Economic Studies",1,0,0
"Bulletin of Volcanology",1,0,0
"Bulletin of the American Meteorological Society",1,0,0
"Business Horizons",0,0,1
"CAB Reviews: Perspectives in Agriculture Veterinary Science Nutrition and Natural Resources",1,0,0
"CABI Agriculture and Bioscience",1,0,0
"CABI Reviews",0,1,0
"Cahiers Agricultures",1,0,0
"Cahiers du Genre",1,0,0
"California Agriculture",1,1,0
"Canadian Entomologist",1,0,0
"Canadian Food Studies / La Revue canadienne des tudes sur l alimentation",0,1,0
"Canadian Geographer",1,0,0
"Canadian Historical Review",1,0,0
"Canadian Journal of Agricultural Economics",1,0,0
"Canadian Journal of Agricultural Economics/Revue canadienne d agroeconomie",0,1,0
"Canadian Journal of Animal Science",1,1,0
"Canadian Journal of Children s Rights / Revue canadienne des droits des enfants",0,1,0
"Canadian Journal of Development Studies",1,0,0
"Canadian Journal of Economics",1,0,0
"Canadian Journal of Economics/Revue canadienne d conomique",0,1,0
"Canadian Journal of Forest Research",0,1,0
"Canadian Journal of Microbiology",1,0,0
"Canadian Journal of Plant Pathology",1,0,1
"Canadian Journal of Plant Science",1,0,0
"Canadian Journal of Soil Science",1,1,1
"Canadian Journal of Zoology",1,0,1
"Canadian Water Resources Journal",1,0,0
"Cancer",1,0,0
"Cancer Medicine",1,0,0
"Cancers",0,0,1
"Carbon Balance and Management",0,0,1
"Case Studies in the Environment",1,0,0
"Castanea",1,0,0
"Catena",1,0,1
"Cereal Chemistry",1,0,1
"Chelonian Conservation and Biology",1,0,0
"Chemical Engineering Transactions",1,0,0
"Chemical and Biological Technologies in Agriculture",1,0,0
"Chemosphere",1,0,0
"China Agricultural Economic Review",1,0,0
"China Economic Review",1,0,0
"Ciencia Animal Brasileira",1,0,0
"Circular Economy and Sustainability",0,0,1
"City and Environment Interactions",0,1,0
"Clean Technologies and Environmental Policy",1,0,1
"Cleaner Environmental Systems",0,1,0
"Climate",1,1,1
"Climate Change Economics",1,0,0
"Climate Dynamics",1,0,1
"Climate Research",1,0,0
"Climate Risk Management",1,0,1
"Climate Services",0,1,1
"Climate and Development",1,0,0
"Climatic Change",1,1,1
"Clinical Cancer Research",1,0,0
"Cliometrica",1,0,0
"Coastal Management",1,0,0
"Cogent Business and Management",1,0,0
"Cogent Economics and Finance",1,0,0
"Cogent Environmental Science",1,0,0
"Cogent Food & Agriculture",0,0,1
"Cogent Food and Agriculture",1,0,0
"Cogent Social Sciences",1,1,0
"Cold Regions Science and Technology",1,0,0
"Communication Studies",1,0,1
"Communications Biology",1,1,1
"Communications Earth & Environment",0,1,1
"Communications Earth and Environment",1,0,1
"Communications in Soil Science and Plant Analysis",1,0,1
"Communications in Statistics: Simulation and Computation",1,0,0
"Communist and Post-Communist Studies",1,0,0
"Community Development",1,1,1
"Community Development Journal",1,0,0
"Community Mental Health Journal",1,0,1
"Comprehensive Reviews in Food Science and Food Safety",1,0,1
"Computacion y Sistemas",1,0,0
"Computers & Chemical Engineering",0,0,1
"Computers Environment and Urban Systems",1,0,1
"Computers and Chemical Engineering",1,0,1
"Computers and Electronics in Agriculture",1,1,1
"Condor",1,0,1
"Conservation Biology",1,0,0
"Conservation Letters",0,0,1
"Conservation Science and Practice",1,0,1
"Construction and Building Materials",1,0,1
"Contemporary Agriculture",0,1,0
"Critical Sociology",1,0,0
"Crop Forage & Turfgrass Management",0,0,1
"Crop Forage and Turfgrass Management",1,0,1
"Crop Protection",1,0,1
"Crop Science",1,0,1
"Crop and Environment",0,0,1
"Cuadernos de Economia (Colombia)",1,0,0
"Culture Agriculture Food and Environment",1,0,0
"Current Allergy and Asthma Reports",0,0,1
"Current Biology",0,1,0
"Current Developments in Nutrition",1,1,1
"Current Environmental Health Reports",0,0,1
"Current Microbiology",1,0,0
"Current Opinion in Biotechnology",0,0,1
"Current Opinion in Environmental Sustainability",0,0,1
"Current Opinion in Insect Science",0,0,1
"Current Opinion in Lipidology",0,0,1
"Current Research in Biotechnology",0,0,1
"Current Research in Environmental Sustainability",1,0,1
"Current Research in Food Science",1,0,1
"Current Research in Nutrition and Food Science",1,0,0
"Current Research in Parasitology and Vector-Borne Diseases",1,0,1
"Current Science",0,1,0
"Data",1,1,0
"Data Science Journal",0,1,0
"Data in Brief",0,1,1
"Database",1,0,0
"Decision Science Letters",1,0,0
"Demography",1,0,1
"Designs",1,0,0
"Developing Economies",1,0,0
"Development Engineering",1,0,0
"Development Policy Review",1,0,0
"Development and Change",1,1,0
"Development in Practice",1,0,0
"Dialectical Anthropology",1,0,0
"Disaster Prevention and Management: An International Journal",1,0,0
"Discrete Dynamics in Nature and Society",1,0,0
"Diversity",1,0,1
"Diversity and Distributions",1,0,0
"Drones",0,0,1
"EDIS",0,1,1
"EUROPEAN RESEARCH STUDIES JOURNAL",0,1,0
"Earth Interactions",1,1,1
"Earth System Governance",1,0,0
"Earth System Science Data",1,0,1
"Earth s Future",0,1,0
"Earth system science data",0,1,0
"Earth's Future",1,0,1
"Eating Behaviors",0,0,1
"EcoHealth",1,1,1
"Ecography",1,0,1
"Ecological Applications",1,0,1
"Ecological Economics",1,1,1
"Ecological Engineering",1,0,1
"Ecological Entomology",1,0,1
"Ecological Genetics and Genomics",1,0,0
"Ecological Indicators",1,0,1
"Ecological Informatics",1,0,1
"Ecological Modelling",1,0,1
"Ecological Restoration",1,0,0
"Ecology",1,0,1
"Ecology Letters",1,0,1
"Ecology and Evolution",1,1,1
"Ecology and Society",1,1,0
"Ecology of Food and Nutrition",0,0,1
"Ecology of Freshwater Fish",1,0,0
"Econometrica",1,0,0
"Economia Agraria y Recursos Naturales",1,0,0
"Economic Alternatives",0,1,0
"Economic Analysis and Policy",1,0,0
"Economic Anthropology",1,0,1
"Economic Development Quarterly",1,0,1
"Economic Development and Cultural Change",1,1,0
"Economic Geography",1,0,0
"Economic History Review",1,0,0
"Economic History of Developing Regions",1,0,0
"Economic Horizons",1,0,0
"Economic Inquiry",0,0,1
"Economics and Business Letters",0,1,0
"Economics and Sociology",1,0,0
"Economics of Education Review",0,0,1
"Ecosphere",1,1,1
"Ecosystem Services",1,0,1
"Ecosystems",1,1,1
"Electronic Journal of Plant Breeding",0,1,0
"Elementa",1,0,1
"Elementa: Science of the Anthropocene",0,0,1
"Emerging Infectious Diseases",1,0,1
"Empirical Economics",0,0,1
"Energies",1,0,1
"Energy",1,0,1
"Energy & Environmental Science",0,0,1
"Energy Conversion and Management",0,0,1
"Energy Economics",1,0,1
"Energy Journal",1,0,0
"Energy Nexus",1,0,1
"Energy Policy",1,0,1
"Energy Research & Social Science",0,0,1
"Energy Research and Social Science",1,0,1
"Energy Strategy Reviews",1,1,0
"Energy Sustainability and Society",1,1,1
"Energy for Sustainable Development",1,0,0
"Engineering and Applied Science Research",1,0,0
"Engineering in Agriculture Environment and Food",1,0,0
"Environment Development and Sustainability",1,0,1
"Environment International",1,1,0
"Environment Systems and Decisions",1,0,1
"Environment and Behavior",1,0,1
"Environment and Planning A",1,0,0
"Environment and Planning A Economy and Space",0,0,1
"Environment and Planning B Urban Analytics and City Science",0,0,1
"Environment and Planning D Society and Space",0,0,1
"Environment and Planning D: Society and Space",1,0,0
"Environment and Planning E Nature and Space",0,0,1
"Environment and Planning F",0,0,1
"Environmental Communication",1,0,1
"Environmental Development",1,0,0
"Environmental Education Research",0,0,1
"Environmental Entomology",1,0,1
"Environmental Epidemiology",0,1,1
"Environmental Geochemistry and Health",1,0,1
"Environmental Health",0,0,1
"Environmental Health Perspectives",1,0,1
"Environmental Health: A Global Access Science Source",1,0,1
"Environmental Justice",1,0,1
"Environmental Management",1,1,1
"Environmental Modeling and Assessment",1,0,0
"Environmental Modelling & Software",0,1,1
"Environmental Modelling and Software",1,0,1
"Environmental Monitoring and Assessment",1,0,1
"Environmental Pollution",1,0,1
"Environmental Processes",1,0,1
"Environmental Progress and Sustainable Energy",1,0,0
"Environmental Research",1,1,1
"Environmental Research Communications",1,0,1
"Environmental Research Infrastructure and Sustainability",0,0,1
"Environmental Research Letters",1,1,1
"Environmental Reviews",0,1,1
"Environmental Science & Policy",0,0,1
"Environmental Science & Technology",0,1,0
"Environmental Science and Policy",1,0,1
"Environmental Science and Pollution Research",1,1,1
"Environmental Science and Technology",1,0,1
"Environmental Science: Advances",1,0,0
"Environmental Sociology",1,0,1
"Environmental Sustainability",0,0,1
"Environmental Toxicology and Chemistry",0,0,1
"Environmental and Resource Economics",0,0,1
"Environmental and Sustainability Indicators",1,1,1
"Environments - MDPI",1,0,1
"Epidemics",1,0,1
"Epidemiology",0,1,0
"Epidemiology and Infection",1,1,1
"Ergonomics",1,0,0
"Espacio y Desarrollo",0,1,0
"Estuaries and Coasts",1,0,1
"Estuarine Coastal and Shelf Science",1,0,0
"Etikk i Praksis",1,0,0
"Euphytica",1,1,1
"Eurasian Geography and Economics",1,0,1
"EuroChoices",1,0,1
"European Countryside",1,1,1
"European Journal of Agriculture and Food Sciences",0,1,0
"European Journal of Agronomy",1,0,1
"European Journal of Applied Physiology",1,0,0
"European Journal of Contemporary Education",0,1,0
"European Journal of Development Research",1,0,0
"European Journal of Operational Research",0,0,1
"European Journal of Plant Pathology",1,0,1
"European Journal of Soil Science",1,0,1
"European Review of Agricultural Economics",1,0,1
"European Spatial Research and Policy",1,0,0
"Evaluation and Program Planning",0,0,1
"Evolutionary Applications",1,0,1
"Experimental Agriculture",0,1,1
"Experimental and Applied Acarology",1,0,0
"Extractive Industries and Society",1,0,1
"FEMS Microbiology Ecology",0,0,1
"Fact sheet",0,1,0
"Family Business Review",0,0,1
"Fashion Practice",1,0,0
"Fermentation",0,0,1
"Field Crops Research",1,0,1
"Fire",1,0,0
"Fire Ecology",1,0,0
"Fish Physiology and Biochemistry",0,0,1
"Fish and Shellfish Immunology",1,0,1
"Fisheries Research",1,0,0
"Florida Entomologist",1,0,1
"Food Chemistry",0,0,1
"Food Control",1,0,1
"Food Culture & Society",0,1,1
"Food Culture and Society",1,0,1
"Food Ethics",1,0,1
"Food Policy",1,1,1
"Food Protection Trends",1,1,0
"Food Science and Technology (Brazil)",1,0,1
"Food Security",1,1,1
"Food Studies",1,0,0
"Food and Energy Security",1,0,1
"Food and Environmental Virology",1,1,0
"Food and Foodways",0,0,1
"Food and Nutrition Bulletin",1,1,0
"Foodborne Pathogens and Disease",1,0,0
"Foods",1,0,1
"Forest Ecology and Management",0,0,1
"Forest Ecosystems",0,1,1
"Forest Policy and Economics",1,0,1
"Forest Science",1,0,1
"Forestry Chronicle",1,0,0
"Forests",1,0,1
"Forests Trees and Livelihoods",1,0,0
"Forum for Social Economics",1,0,0
"Freshwater Crayfish",1,0,0
"Fronteiras",1,0,0
"Frontiers in Agronomy",1,1,1
"Frontiers in Animal Science",1,1,1
"Frontiers in Aquaculture",0,1,0
"Frontiers in Artificial Intelligence",1,1,1
"Frontiers in Bioengineering and Biotechnology",1,0,1
"Frontiers in Climate",1,1,1
"Frontiers in Conservation Science",1,1,1
"Frontiers in Earth Science",0,0,1
"Frontiers in Ecology and Evolution",1,1,1
"Frontiers in Ecology and the Environment",1,0,1
"Frontiers in Energy Research",1,1,1
"Frontiers in Environmental Economics",0,1,0
"Frontiers in Environmental Science",1,1,1
"Frontiers in Forests and Global Change",1,1,1
"Frontiers in Genetics",1,1,1
"Frontiers in Health Services",0,0,1
"Frontiers in Insect Science",1,0,1
"Frontiers in Marine Science",1,0,1
"Frontiers in Microbiology",1,0,1
"Frontiers in Nutrition",0,1,0
"Frontiers in Plant Science",1,1,1
"Frontiers in Psychology",0,1,0
"Frontiers in Public Health",1,1,1
"Frontiers in Sociology",1,0,0
"Frontiers in Soil Science",1,0,0
"Frontiers in Sustainability",1,0,0
"Frontiers in Sustainable Cities",0,1,0
"Frontiers in Sustainable Food Systems",1,1,1
"Frontiers in Veterinary Science",1,1,1
"Frontiers in Water",1,1,1
"Frontiers of Agricultural Science and Engineering",1,1,0
"Frontiers of Environmental Science and Engineering",1,0,0
"Fruits",1,0,0
"Fungal Systematics and Evolution",1,0,1
"Future of Food: Journal on Food Agriculture and Society",1,0,0
"Futures",0,1,0
"G3: Genes Genomes Genetics",1,0,1
"GCB Bioenergy",1,0,1
"GIScience & Remote Sensing",0,0,1
"GIScience and Remote Sensing",1,0,0
"GM Crops and Food",1,0,0
"GSA Field Guides",1,0,0
"Gender Place and Culture",1,0,0
"Genes",0,0,1
"Genetic Resources and Crop Evolution",1,1,1
"Geneva Papers on Risk and Insurance: Issues and Practice",1,0,1
"GeoHealth",1,0,1
"GeoJournal",1,0,0
"Geoderma",1,0,1
"Geoderma Regional",1,0,1
"Geoforum",1,0,0
"Geographica Helvetica",1,1,0
"Geographical Research",1,0,0
"Geographical Review",1,0,1
"Geography and Sustainability",0,0,1
"Geomorfologiya",1,0,0
"Geomorphology",1,0,1
"Geophysical Research Letters",1,0,1
"Geoscience Data Journal",0,0,1
"Geosciences (Switzerland)",1,0,1
"Geoscientific Model Development",0,0,1
"Geoscientific model development",0,1,0
"Geospatial Health",1,0,1
"Geospatial health",0,1,0
"Ghana Medical Journal",1,0,0
"Global Biogeochemical Cycles",1,0,1
"Global Business Review",1,0,0
"Global Change Biology",1,1,1
"Global Ecology and Biogeography",1,0,1
"Global Ecology and Conservation",0,0,1
"Global Environmental Change",1,1,1
"Global Food Security",1,1,1
"Global Journal of Agricultural and Allied Sciences",0,1,0
"Global Knowledge Memory and Communication",1,0,0
"Global Networks",1,0,0
"Globalization and Health",0,0,1
"Grass and Forage Science",1,0,1
"Grassland Research",1,0,1
"Great Plains Research",1,0,0
"Great Plains research",0,1,0
"Groundwater",1,0,0
"Growth and Change",0,0,1
"HUMAN GEOGRAPHIES Journal of Studies and Research in Human Geography",0,1,0
"Health Education Journal",0,0,1
"Health Information Science and Systems",1,1,1
"Health Marketing Quarterly",0,0,1
"Health Policy and Technology",1,0,0
"Health Promotion Practice",1,0,1
"Health Services Research",0,0,1
"Healthcare Policy",1,0,0
"Heliyon",1,1,1
"Historia Agraria Revista de agricultura e historia rural",0,1,0
"Historical Materialism",0,0,1
"Historical Methods",1,0,0
"HortScience",1,1,1
"HortTechnology",1,0,1
"Horticulturae",1,0,1
"Horticultural Science and Technology",0,1,0
"Horticulture Research",1,0,1
"Housing Policy Debate",1,1,0
"Human Dimensions of Wildlife",1,0,1
"Human Ecology",1,0,0
"Human Ecology Review",1,1,0
"Human Organization",1,0,0
"Humanities and Social Sciences Communications",1,0,0
"Humanomics",1,0,0
"Hydrobiologia",1,0,0
"Hydrogeology Journal",1,0,1
"Hydrological Processes",1,0,1
"Hydrological Sciences Journal",1,0,1
"Hydrology",1,0,1
"Hydrology and Earth System Sciences",1,0,1
"Hydrology and earth system sciences",0,1,0
"ICES Journal of Marine Science",1,0,1
"IDS Bulletin",0,1,0
"IEEE Access",0,0,1
"IEEE Geoscience and Remote Sensing Letters",0,0,1
"IEEE Journal of Photovoltaics",0,0,1
"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing",1,0,1
"IEEE Robotics and Automation Letters",1,0,1
"IEEE Transactions on Geoscience and Remote Sensing",1,0,1
"IEEE Transactions on Industrial Informatics",1,0,1
"ISME Communications",0,0,1
"ISPRS International Journal of Geo-Information",1,0,1
"ISPRS Journal of Photogrammetry and Remote Sensing",1,0,1
"IWMI Research Report",1,0,0
"Ibis",1,0,1
"Illinois Natural History Survey bulletin/Bulletin - Illinois Natural History Survey",0,1,0
"Indonesian Journal of Geography",1,0,0
"Industrial Biotechnology",1,0,0
"Industrial Crops and Products",1,0,1
"Infection Ecology and Epidemiology",1,0,0
"Informatics for Health and Social Care",0,0,1
"Information Processing in Agriculture",0,0,1
"Information Research",1,0,0
"Injury Epidemiology",1,1,1
"Injury Prevention",1,0,1
"Insect Conservation and Diversity",0,0,1
"Insects",1,0,1
"Integrated Environmental Assessment and Management",1,0,0
"Integrative Zoology",1,0,0
"Interface Focus",1,1,0
"International Archives of Occupational and Environmental Health",1,0,1
"International Dairy Journal",1,0,0
"International Economic Review",1,0,0
"International Food and Agribusiness Management Review",1,0,1
"International Forestry Review",1,0,0
"International Health",1,0,0
"International Journal of Agricultural Extension",1,0,0
"International Journal of Agricultural Management",1,0,0
"International Journal of Agricultural Sustainability",1,0,1
"International Journal of Agriculture Extension and Rural Development Studies",0,1,0
"International Journal of Agriculture and Forestry",0,1,0
"International Journal of Agriculture and Natural Resources",1,0,0
"International Journal of Applied Earth Observation and Geoinformation",1,1,1
"International Journal of Applied Geospatial Research",1,0,0
"International Journal of Cardiology",1,0,0
"International Journal of Climate Change Strategies and Management",1,0,0
"International Journal of Climate Change: Impacts and Responses",1,0,0
"International Journal of Climatology",1,0,1
"International Journal of Computing Science and Mathematics",1,0,0
"International Journal of Dairy Technology",0,0,1
"International Journal of Digital Earth",1,0,1
"International Journal of Disaster Risk Reduction",1,0,1
"International Journal of Economics and Finance",0,1,0
"International Journal of Energy Research",1,0,1
"International Journal of Engineering & Technology",0,1,0
"International Journal of Environment Agriculture and Biotechnology",0,1,0
"International Journal of Environmental Impacts",1,0,0
"International Journal of Environmental Research and Public Health",1,1,1
"International Journal of Environmental Science and Technology",0,1,0
"International Journal of Environmental Sciences & Natural Resources",0,1,0
"International Journal of Environmental Studies",1,0,0
"International Journal of Environmental Sustainability",1,0,0
"International Journal of Financial Studies",1,0,0
"International Journal of Food Science",0,0,1
"International Journal of Food Science and Technology",1,0,0
"International Journal of Globalisation and Small Business",1,0,0
"International Journal of Historical Archaeology",1,0,0
"International Journal of Hospitality Management",1,0,1
"International Journal of Hygiene and Environmental Health",0,0,1
"International Journal of Industrial Ergonomics",1,0,0
"International Journal of Infectious Diseases",1,0,0
"International Journal of Information Diversity and Inclusion",1,0,0
"International Journal of Life Cycle Assessment",1,0,1
"International Journal of Medical Microbiology",1,0,0
"International Journal of Molecular Sciences",1,0,0
"International Journal of One Health",1,0,0
"International Journal of Plant Production",1,0,0
"International Journal of Polymer Analysis and Characterization",0,0,1
"International Journal of Production Economics",1,0,1
"International Journal of Productivity and Performance Management",1,0,0
"International Journal of Regional Development",0,1,0
"International Journal of Remote Sensing",1,1,1
"International Journal of Research -GRANTHAALAYAH",0,1,0
"International Journal of Risk Assessment and Management",1,0,0
"International Journal of River Basin Management",1,0,0
"International Journal of Social Economics",1,0,0
"International Journal of Social Research Methodology",1,0,0
"International Journal of Sociology and Social Policy",1,0,1
"International Journal of Sociology of Agriculture and Food",1,0,0
"International Journal of Sport Management and Marketing",1,0,0
"International Journal of Sustainability in Higher Education",1,0,1
"International Journal of Sustainable Development and World Ecology",1,0,1
"International Journal of Technology Management and Sustainable Development",1,0,0
"International Journal of Vegetable Science",1,0,0
"International Journal of Water Resources Development",1,0,1
"International Journal of the Commons",1,0,0
"International Journal on Food System Dynamics",1,0,0
"International Migration",1,0,0
"International Regional Science Review",0,1,0
"International Review for Spatial Planning and Sustainable Development",1,0,0
"International Review of Applied Economics",1,0,0
"International Review of Law and Economics",1,0,0
"International Review of Psychiatry",0,0,1
"International Soil and Water Conservation Research",1,1,1
"International journal of food science and agriculture",0,1,0
"Internet of Things",0,0,1
"Interpretation A Journal of Bible and Theology",0,0,1
"Irish Geography",1,0,0
"Irish Journal of Agricultural and Food Research",1,0,0
"Irish Veterinary Journal",0,0,1
"Irrigation Science",1,0,1
"Irrigation and Drainage",1,0,0
"JAIDS Journal of Acquired Immune Deficiency Syndromes",0,1,0
"JAMA Network Open",0,1,0
"JASSS",1,0,0
"JAWRA Journal of the American Water Resources Association",0,0,1
"JMIR Formative Research",0,0,1
"JMIR Research Protocols",1,0,0
"Japan Agricultural Research Quarterly",1,0,0
"Japanese Journal of Southeast Asian Studies",1,0,0
"Joule",1,0,1
"Journal for Nature Conservation",0,1,0
"Journal fur Kulturpflanzen",1,0,0
"Journal of Adolescent Health",0,1,0
"Journal of Advances in Modeling Earth Systems",1,0,1
"Journal of African American Studies",1,1,0
"Journal of African Economies",1,0,0
"Journal of Agrarian Change",1,0,1
