"journal_title","scopus_yes","oa_yes","dim_yes"
"Journal of the American Heart Association",1,1,1
"Journal of the American Medical Informatics Association",1,0,1
"Journal of the American Pharmacists Association",1,0,0
"Journal of the American Planning Association",1,0,0
"Land",1,1,1
"Liver Transplantation",0,0,1
"Local Environment",1,0,1
"Managerial and Decision Economics",1,0,1
"Maternal and Child Health Journal",1,0,0
"MedEdPORTAL",0,0,1
"Medical Care",0,0,1
"Milbank Quarterly",0,1,0
"Mindfulness",1,0,1
"Nature Communications",1,1,1
"Naval Research Logistics",1,0,0
"Naval Research Logistics (NRL)",0,1,0
"Nutrients",1,0,1
"Nutrition and Health",1,0,0
"Obesity",1,0,1
"Obesity Surgery",1,0,1
"Obstetrics and Gynecology",0,1,1
"PLOS ONE",0,0,1
"PLoS ONE",1,1,1
"Palgrave Communications",0,1,0
"Papers in Applied Geography",1,0,1
"Pathogens",1,0,1
"Pedagogy in Health Promotion",1,0,1
"Pediatric Blood and Cancer",1,0,1
"Philosophy & Technology",0,1,0
"Philosophy and Technology",1,0,1
"Physiology & Behavior",0,1,0
"Physiology and Behavior",1,0,0
"Pilot and Feasibility Studies",1,1,0
"Policy Design and Practice",1,0,1
"Policy Politics and Nursing Practice",1,0,0
"Population Health Management",1,0,1
"Preventing Chronic Disease",1,1,1
"Preventive Medicine",1,0,0
"Preventive Medicine Reports",1,1,1
"Primary Care Diabetes",1,0,1
"Proceedings of the ACM on Human-Computer Interaction",1,0,1
"Professional Geographer",1,0,1
"Progress in Community Health Partnerships: Research Education and Action",1,0,0
"Public Health Nutrition",1,1,1
"Public Health Reports",1,0,0
"Purdue Journal of Service-Learning and International Engagement",0,1,0
"Qualitative Sociology",1,0,1
"Renewable Agriculture and Food Systems",0,1,0
"Resources Conservation and Recycling",1,0,0
"Revista de Nutricao",1,0,0
"SSM - Population Health",1,1,1
"SSRN Electronic Journal",0,1,0
"Science of the Total Environment",1,0,1
"Scientific Reports",1,1,1
"Sleep",1,0,1
"Social Science and Medicine",1,0,1
"Social Sciences",1,1,1
"Social Work in Health Care",1,0,0
"Socio-Economic Planning Sciences",1,0,1
"Sociology of Race and Ethnicity",1,0,1
"Southeastern Geographer",1,0,1
"Southern Economic Journal",1,0,0
"Stroke",0,1,0
"Surgery",0,0,1
"Surgery for Obesity and Related Diseases",1,0,1
"Sustainability",0,1,1
"Sustainability (Switzerland)",1,0,1
"Sustainability and climate change",1,0,0
"Sustainable Cities and Society",1,0,1
"The American Journal of Cardiology",0,1,0
"The Annals of Thoracic Surgery",0,0,1
"The B E Journal of Economic Analysis & Policy",0,0,1
"The British Journal of Social Work",0,0,1
"The Journal of Allergy and Clinical Immunology In Practice",0,0,1
"The Journal of Mathematical Behavior",0,0,1
"The Journal of Urology",0,1,0
"The Professional Geographer",0,1,0
"The Radical Teacher",0,1,0
"The Science of The Total Environment",0,0,1
"The international archives of the photogrammetry remote sensing and spatial information sciences/International archives of the photogrammetry remote sensing and spatial information sciences",0,1,0
"The journal of nutrition health & aging",0,1,1
"Translational Behavioral Medicine",1,0,1
"Transportation Research Part A Policy and Practice",0,0,1
"Transportation Research Part A: Policy and Practice",1,0,1
"Transportation Research Record Journal of the Transportation Research Board",0,0,1
"Urban Affairs Review",1,0,0
"Urban Agriculture and Regional Food Systems",1,0,1
"Urban Forestry and Urban Greening",1,0,1
"Urban Informatics",0,0,1
"Urban Science",0,1,1
"Urban Social Work",1,0,0
"Urban Studies",1,1,1
"Urban Water Journal",0,1,0
"Urology",1,1,0
"Vaccine: X",1,0,0
"Water (Switzerland)",1,0,1
"Water Resources and Economics",1,0,0
"Western Journal of Nursing Research",1,0,1
"Women's Health Reports",1,0,0
"mSystems",0,1,1
