"journal_title","scopus_yes","oa_yes","dim_yes"
"Journal of Human Sciences and Extension",0,1,0
"Journal of Hunger & Environmental Nutrition",0,1,0
"Journal of Hunger and Environmental Nutrition",1,0,1
"Journal of Immigrant and Minority Health",0,1,0
"Journal of Latinos and Education",0,1,0
"Journal of Mobile Technology in Medicine",0,1,0
"Journal of Nutrition",1,1,1
"Journal of Nutrition & Food Sciences",0,1,0
"Journal of Nutrition Education and Behavior",1,1,1
"Journal of Nutrition and Food Security",0,1,0
"Journal of Nutrition in Gerontology and Geriatrics",0,1,0
"Journal of Nutritional Health & Food Engineering",0,1,0
"Journal of Nutritional Science",0,1,0
"Journal of Policy Analysis and Management",1,0,1
"Journal of Public Affairs",1,0,1
"Journal of Public Economics",1,0,1
"Journal of Public Health",0,1,0
"Journal of Public Health (Germany)",1,0,1
"Journal of Racial and Ethnic Health Disparities",1,1,1
"Journal of Renal Nutrition",0,1,0
"Journal of Rural Studies",1,0,1
"Journal of Socialomics",0,1,0
"Journal of Survey Statistics and Methodology",0,0,1
"Journal of Transport & Health",0,1,1
"Journal of Transport and Health",1,0,1
"Journal of Transportation Engineering Part A: Systems",1,0,0
"Journal of Urban Health",0,1,0
"Journal of Urban Planning and Development",1,0,1
"Journal of college student development",0,1,0
"Journal of the Academy of Nutrition and Dietetics",1,1,1
"Journal of the American Academy of Child & Adolescent Psychiatry",0,1,0
"Journal of the American Heart Association",0,1,0
"Journal of the American Planning Association",1,0,0
"Journal of the American Psychiatric Nurses Association",1,0,0
"Journal of the Association of Environmental and Resource Economists",1,0,0
"Kompass Nutrition & Dietetics",0,1,0
"Local Environment",0,1,0
"Malaysian Journal of Medicine and Health Sciences",0,1,0
"Marketing Letters",1,0,1
"Maternal and Child Health Journal",0,1,0
"Maternal and Child Nutrition",0,1,0
"Medicine & Science in Sports & Exercise",0,1,0
"Mehmet Akif Ersoy niversitesi Uygulamal Bilimler Dergisi",0,1,0
"Molecular Nutrition and Food Research",1,0,1
"Monthly Labor Review",1,0,0
"Naval Research Logistics",1,0,0
"Naval Research Logistics (NRL)",0,1,0
"Nephrology & Renal Therapy",0,1,0
"North Carolina Medical Journal",0,1,0
"Nutrients",1,1,1
"Nutrition",1,0,1
"Nutrition & Dietetics",0,1,0
"Nutrition Journal",1,1,1
"Nutrition Reviews",0,0,1
"Nutrition Today",1,0,0
"Nutrition and Cancer",0,0,1
"Nutrition and Diabetes",0,1,0
"Nutrition and Dietary Supplements",0,1,1
"Nutrition and Health",1,0,1
"Obesity",1,1,1
"Obesity Reviews",1,0,0
"Observational Studies",0,1,0
"Obstetrics and Gynecology",0,1,0
"Online Journal of Rural Nursing and Health Care",0,1,0
"PEDIATRICS",0,1,0
"PLOS Global Public Health",0,1,0
"PLOS ONE",0,0,1
"PLoS ONE",1,1,1
"PRIMUS",1,0,0
"Papers in Applied Geography",1,0,0
"Pediatric Diabetes",0,1,0
"Pediatrics",1,0,1
"Physiology and Behavior",1,0,0
"Population Health Metrics",1,0,0
"Preventing Chronic Disease",1,1,1
"Preventive Medicine",1,1,1
"Preventive Medicine Reports",1,0,1
"Preventive Nutrition and Food Science",0,1,0
"Public Health Nursing",0,1,0
"Public Health Nutrition",1,1,1
"Public Health Reports",0,1,1
"Raumforschung und Raumordnung",1,0,0
"Region",1,0,0
"Renewable Agriculture and Food Systems",1,1,0
"Resources Conservation and Recycling",1,0,1
"Review of Economics of the Household",1,1,1
"SSRN Electronic Journal",0,1,0
"Science of the Total Environment",1,0,0
"Scientific Reports",0,1,0
"Social Indicators Research",0,1,0
"Social Science & Medicine",0,1,0
"Social Science and Medicine",1,0,1
"Social Work and Social Welfare",0,1,0
"Social Work in Public Health",1,1,1
"Sociological Methods and Research",1,0,0
"Southern Economic Journal",1,1,1
"Stroke",0,1,0
"Supportive Care in Cancer",1,1,1
"Surgery for Obesity and Related Diseases",0,1,0
"Survey Research Methods",1,0,0
"Sustainability",0,1,1
"Sustainability (Switzerland)",1,0,0
"Sustainable Cities and Society",1,0,1
"The FASEB Journal",0,1,0
"The International Food and Agribusiness Management Review",0,1,0
"The Joint Commission Journal on Quality and Patient Safety",0,0,1
"The Journal of Development Studies",0,1,0
"The Journal of Human Resources",0,1,0
"The Journal of Infectious Diseases",0,1,0
"The Journal of the American Board of Family Medicine",0,1,0
"The Permanente Journal",0,1,0
"The Professional Geographer",0,0,1
"The Science of The Total Environment",0,0,1
"The journal of nutrition health & aging",0,1,0
"Topics in Clinical Nutrition",0,1,0
"Translational Behavioral Medicine",1,1,1
"Transportation Research Part D Transport and Environment",0,0,1
"Trials",0,1,0
"Urban Studies",1,0,1
"VOLUNTAS International Journal of Voluntary and Nonprofit Organizations",0,1,0
"Western Journal of Nursing Research",0,1,0
"Women s Health Issues",0,1,0
"World Nutrition",0,1,0
