"journal_title","scopus_yes","oa_yes","dim_yes"
"American Journal of Surgery",1,0,1
"American Journal of Transplantation",1,0,0
"American Journal on Addictions",1,0,1
"American Political Science Review",0,0,1
"American Surgeon",1,0,1
"Animals",0,1,0
"Annals of Applied Statistics",1,0,0
"Annals of Behavioral Medicine",1,0,1
"Annals of Emergency Medicine",1,0,1
"Annals of Epidemiology",1,1,1
"Annals of Family Medicine",1,0,1
"Annals of Internal Medicine",1,0,0
"Annals of Otology Rhinology & Laryngology",0,0,1
"Annals of Surgery",1,0,1
"Annals of Surgery Open",0,1,0
"Annals of Surgical Oncology",1,1,1
"Annals of Thoracic Surgery",1,0,1
"Annals of Tourism Research Empirical Insights",1,0,1
"Annals of the American Academy of Political and Social Science",1,0,1
"Annals of the American Association of Geographers",1,0,1
"Annals of the American Thoracic Society",1,0,1
"Annual Review of Resource Economics",0,1,0
"Antimicrobial Stewardship and Healthcare Epidemiology",1,0,1
"Appetite",0,1,0
"Applied Clinical Informatics",1,0,1
"Applied Economic Perspectives and Policy",1,1,1
"Applied Economics",1,0,0
"Applied Geography",1,1,1
"Applied Network Science",1,0,0
"Applied Nursing Research",1,0,1
"Applied Research in Quality of Life",0,0,1
"Archives of Dermatological Research",0,0,1
"Archives of Physical Medicine and Rehabilitation",1,0,1
"Archives of Public Health",1,1,1
"Arthritis Care and Research",1,0,1
"Australian Journal of Agricultural and Resource Economics",0,1,0
"BJR|Open",0,0,1
"BJU International",1,0,0
"BMC Cancer",1,1,1
"BMC Family Practice",1,0,1
"BMC Geriatrics",1,1,1
"BMC Health Services Research",1,1,1
"BMC Medical Informatics and Decision Making",1,1,1
"BMC Medical Research Methodology",1,0,0
"BMC Oral Health",1,0,0
"BMC Palliative Care",1,0,0
"BMC Pregnancy and Childbirth",1,1,0
"BMC Primary Care",0,0,1
"BMC Psychiatry",0,0,1
"BMC Public Health",1,1,1
"BMC Research Notes",1,0,0
"BMC Women s Health",0,1,0
"BMC Women's Health",1,0,0
"BMJ",1,0,1
"BMJ Open",1,1,1
"BULL PAN AM HEALTH ORGAN",0,0,1
"Baylor University Medical Center Proceedings",0,0,1
"Behavioral Medicine",1,0,0
"BioScience",1,1,1
"Biomedical Journal of Scientific & Technical Research",0,1,0
"Birth Defects Research",1,0,0
"Bladder Cancer",1,0,0
"Brachytherapy",0,0,1
"Breast Cancer Research and Treatment",1,1,1
"British Food Journal",0,1,0
"British Journal of Ophthalmology",1,0,1
"Building and Environment",1,0,0
"Built Environment",1,0,0
"COVID",0,0,1
"Canadian Journal of Political Science",1,0,0
"Cancer",1,1,1
"Cancer Causes & Control",0,1,1
"Cancer Causes and Control",1,0,1
"Cancer Control",1,1,1
"Cancer Epidemiology",1,0,1
"Cancer Epidemiology Biomarkers & Prevention",0,1,1
"Cancer Epidemiology Biomarkers and Prevention",1,0,0
"Cancer Investigation",0,0,1
"Cancer Medicine",1,1,1
"Cancer Reports",1,0,1
"Cancer therapy & Oncology International Journal",0,1,0
"Cancers",1,0,1
"Cardiology in the Young",1,0,0
"Cell Genomics",1,0,1
"Cephalalgia",1,0,1
"Child Abuse & Neglect",0,1,1
"Child Abuse and Neglect",1,0,1
"Child Maltreatment",0,1,1
"Child and Adolescent Mental Health",1,0,1
"Child's Nervous System",0,0,1
"Children",0,0,1
"Children and Youth Services Review",1,0,1
"Children's Health Care",1,0,1
"Chronic Illness",1,1,0
"Circulation",1,0,1
"Climate Risk Management",1,0,0
"Climatic Change",1,0,1
"Clinical & Experimental Metastasis",0,0,1
"Clinical Breast Cancer",1,0,0
"Clinical Gastroenterology and Hepatology",0,0,1
"Clinical Genitourinary Cancer",1,0,0
"Clinical Gerontologist",1,0,0
"Clinical Infectious Diseases",1,0,1
"Clinical Journal of Oncology Nursing",1,0,0
"Clinical Lymphoma Myeloma & Leukemia",0,1,0
"Clinical Lymphoma Myeloma and Leukemia",1,0,1
"Clinical Orthopaedics and Related Research",1,0,1
"Clinical and Translational Radiation Oncology",1,0,0
"Clinical and Translational Science",1,0,1
"Cogent Social Sciences",0,0,1
"Community Development",1,0,1
"Community Mental Health Journal",1,0,1
"Community Work and Family",1,0,1
"Comparative Political Studies",1,0,0
"Comprehensive Psychiatry",1,0,1
"Computers Environment and Urban Systems",1,0,1
"Constitutional Political Economy",0,1,0
"Contemporary Clinical Trials",1,0,1
"Contemporary Clinical Trials Communications",1,0,0
"Contemporary Economic Policy",0,1,0
"Contraception",1,0,1
"Crime & Delinquency",0,0,1
"Crime Law and Social Change",1,0,1
"Criminal Justice Policy Review",1,0,0
"Criminal Justice Review",1,0,1
"Criminal Justice Studies",1,0,0
"Criminal Justice and Behavior",1,0,1
"Criminology and Public Policy",1,0,0
"Critical Care",1,0,1
"Cureus",0,1,1
"Current Developments in Nutrition",1,1,0
"Current Epidemiology Reports",0,0,1
"Current Issues in Criminal Justice",1,0,1
"Current Oncology",1,0,0
"Current Opinion in Pediatrics",0,0,1
"Data in Brief",0,0,1
"Database",1,0,0
"Dermatitis",1,0,0
"Dermatologic Surgery",1,0,1
"Dermatology Online Journal",1,0,0
"Deviant Behavior",1,0,0
"Diabetes Care",1,0,0
"Diabetes Research and Clinical Practice",1,0,1
"Diabetes/Metabolism Research and Reviews",1,0,1
"Disability and Health Journal",1,0,1
"Disability and Rehabilitation",1,0,0
"Diseases of the Esophagus",0,0,1
"Drug and Alcohol Dependence",1,1,1
"Drug and Alcohol Dependence Reports",0,1,1
"Drug and Alcohol Review",1,0,0
"Du Bois Review Social Science Research on Race",0,0,1
"EPJ Data Science",1,0,1
"Early Childhood Research Quarterly",1,0,0
"Earth System Science Data",1,0,1
"Earth system science data",0,1,0
"Earth's Future",0,0,1
"Eastern Economic Journal",0,0,1
"Ecological Economics",1,0,1
"Ecology of Food and Nutrition",1,1,0
"Economic Development Quarterly",1,0,1
"Economics of Governance",0,0,1
"Emerging Infectious Diseases",0,0,1
"Energy Economics",0,0,1
"Energy Policy",1,0,1
"Energy Research & Social Science",0,0,1
"Energy and Buildings",1,0,1
"Entrepreneurship and Regional Development",0,0,1
"Environment International",1,0,1
"Environmental Education Research",1,0,1
"Environmental Epidemiology",1,1,1
"Environmental Geochemistry and Health",1,0,0
"Environmental Health",0,0,1
"Environmental Health Insights",1,0,1
"Environmental Health Perspectives",1,0,0
"Environmental Justice",1,0,0
"Environmental Monitoring and Assessment",1,0,1
"Environmental Pollution",1,0,1
"Environmental Research",1,1,1
"Environmental Research Letters",1,0,1
"Environmental Science and Pollution Research",1,0,1
"Environmental Sociology",1,0,0
"Environmental and Sustainability Indicators",0,0,1
"Epidemiology",1,0,0
"Epidemiology and Infection",1,0,1
"Epilepsy and Behavior",1,0,0
"Ethnicity and Disease",1,0,0
"Ethnicity and Health",1,0,0
"European Economic Review",0,1,0
"European Journal of Oncology Nursing",1,0,0
"European Journal of Surgical Oncology",1,0,1
"European Review of Agricultural Economics",0,1,0
"European Urology Oncology",1,0,0
"Experimental and Clinical Psychopharmacology",1,0,1
"Extractive Industries and Society",1,0,1
"F1000Research",0,0,1
"Family Medicine",1,1,0
"Food Policy",1,1,1
"Food Quality and Preference",0,0,1
"Food Security",1,1,1
"Forest Science",1,0,0
"Forests",1,0,1
"Forum (Germany)",1,0,1
"Frontiers in Aging Neuroscience",1,0,1
"Frontiers in Conservation Science",0,1,0
"Frontiers in Digital Health",1,0,1
"Frontiers in Human Dynamics",0,0,1
"Frontiers in Nutrition",0,1,0
"Frontiers in Oncology",0,1,1
"Frontiers in Pharmacology",0,0,1
"Frontiers in Psychiatry",0,1,0
"Frontiers in Public Health",1,1,1
"Frontiers in Rehabilitation Sciences",1,1,0
"Frontiers in Sociology",1,0,1
"Frontiers in Sustainable Cities",1,1,1
"Frontiers in Sustainable Food Systems",1,1,1
"Gastro Hep Advances",1,0,1
"Gastroenterology",1,0,1
"General Hospital Psychiatry",1,1,1
"Geographies",0,0,1
"Geospatial Health",0,0,1
"Geospatial health",0,1,0
"Geriatric Nursing",1,1,1
"Geriatric Orthopaedic Surgery and Rehabilitation",1,0,0
"Global Advances In Health and Medicine",1,0,0
"Global Biogeochemical Cycles",1,1,1
"Global Epidemiology",0,0,1
"Growth and Change",1,0,1
"Gynecologic Oncology",1,1,1
"Hand",1,0,1
"Harm Reduction Journal",1,1,1
"Head & Neck",0,1,1
"Head and Neck",1,0,0
"Health & Place",0,1,0
"Health Affairs",1,1,1
"Health Affairs Scholar",0,0,1
"Health Communication",1,0,0
"Health Education Journal",1,0,0
"Health Education Research",1,0,1
"Health Education and Behavior",1,0,0
"Health Equity",1,0,1
"Health Policy and Technology",1,0,1
"Health Promotion Practice",1,0,1
"Health Psychology",1,0,1
"Health Services Insights",1,0,1
"Health Services Research",1,1,1
"Health Services and Outcomes Research Methodology",1,1,0
"Health and Justice",1,0,1
"Health and Place",1,0,1
"Health and Social Care in the Community",1,0,1
"Healthcare",0,1,0
"Healthcare (Switzerland)",1,0,1
"Healthy Aging Research",0,0,1
"Heliyon",1,0,0
"Hepatology",0,0,1
"Home Healthcare Now",1,1,0
"Homicide Studies",1,0,1
"HortScience",1,0,0
"HortTechnology",1,0,0
"Hospital Pediatrics",1,0,1
"Housing Policy Debate",1,0,1
"Housing and Society",1,0,1
"Human Service Organizations Management Leadership and Governance",1,0,0
"Human Vaccines & Immunotherapeutics",0,0,1
"Human Vaccines and Immunotherapeutics",1,0,0
"Humanities and Social Sciences Communications",0,1,1
"Implementation Research and Practice",1,0,1
"Implementation Science Communications",1,0,1
"Industrial and Corporate Change",0,0,1
"Infant and Child Development",1,0,0
"Infection Control and Hospital Epidemiology",1,0,0
"Injury",1,0,1
"Injury Epidemiology",1,0,1
"Injury Prevention",1,0,0
"Innovation in Aging",1,0,1
"Integrative Food Nutrition and Metabolism",0,1,0
"International Journal for Equity in Health",1,0,1
"International Journal of Behavioral Medicine",1,0,0
"International Journal of Behavioral Nutrition and Physical Activity",1,1,1
"International Journal of Cancer",1,0,1
"International Journal of Colorectal Disease",1,1,0
"International Journal of Developing Country Studies",0,1,0
"International Journal of Disaster Risk Reduction",1,0,1
"International Journal of Drug Policy",1,1,1
"International Journal of Entrepreneurship and Small Business",0,0,1
"International Journal of Environmental Health Research",0,0,1
"International Journal of Environmental Research and Public Health",1,1,1
"International Journal of Gynecological Cancer",1,0,1
"International Journal of Health Economics and Management",1,0,1
"International Journal of Health Geographics",0,1,0
"International Journal of Health Planning and Management",1,0,1
"International Journal of Health Promotion and Education",1,0,1
"International Journal of Housing Markets and Analysis",0,0,1
"International Journal of Hygiene and Environmental Health",1,0,0
"International Journal of Innovative Technology and Exploring Engineering",0,1,0
"International Journal of Integrated Care",1,0,1
"International Journal of Obesity",1,1,1
"International Journal of Offender Therapy and Comparative Criminology",1,0,0
"International Journal of Production Economics",1,0,1
"International Journal of Public Health",1,0,1
"International Journal of Radiation Oncology Biology Physics",1,0,1
"International Journal of Radiation Oncology*Biology*Physics",0,1,0
"International Journal of Translational Medical Research and Public Health",0,0,1
"International Journal of Water Resources Development",1,0,1
"International Journal of Women's Dermatology",1,0,0
"International Journal on Child Maltreatment Research Policy and Practice",0,1,0
"International Journal on Child Maltreatment: Research Policy and Practice",1,0,1
"International Regional Science Review",1,0,1
"International journal of high school research",0,1,0
"Investigative and Clinical Urology",0,0,1
"JAAPA",0,0,1
"JACC: Cardiovascular Imaging",1,0,1
"JAIDS Journal of Acquired Immune Deficiency Syndromes",0,0,1
"JAMA",0,1,1
"JAMA - Journal of the American Medical Association",1,0,1
"JAMA Cardiology",1,0,1
"JAMA Dermatology",1,0,1
"JAMA Health Forum",1,0,1
"JAMA Internal Medicine",1,1,1
"JAMA Network Open",1,0,1
"JAMA Oncology",1,1,1
"JAMA Ophthalmology",1,0,0
"JAMA Otolaryngology - Head & Neck Surgery",0,0,1
"JAMA Otolaryngology - Head and Neck Surgery",1,0,1
"JAMA OtolaryngologyHead & Neck Surgery",0,1,0
"JAMA Pediatrics",1,1,1
"JAMA Psychiatry",0,0,1
"JAMA Surgery",1,1,1
"JCO Clinical Cancer Informatics",1,0,1
"JCO Oncology Practice",1,0,1
"JCO Precision Oncology",0,0,1
"JMIR Aging",1,0,1
"JMIR Cancer",1,0,1
"JMIR Diabetes",1,0,0
"JMIR Formative Research",1,0,1
"JMIR Public Health and Surveillance",0,1,1
"JMIR Research Protocols",1,1,1
"JMIR mHealth and uHealth",1,0,1
"JMIR mhealth and uhealth",0,1,0
"JNCCN Journal of the National Comprehensive Cancer Network",1,0,0
"JNCI Cancer Spectrum",1,0,1
"JTCVS Open",0,0,1
"JTO Clinical and Research Reports",1,0,0
"Journal for Healthcare Quality",1,0,0
"Journal for ImmunoTherapy of Cancer",1,0,1
"Journal of Acquired Immune Deficiency Syndromes",1,0,0
"Journal of Addiction Medicine",1,1,1
"Journal of Addictive Diseases",1,0,0
"Journal of Adolescent Health",1,0,1
"Journal of Adolescent and Young Adult Oncology",1,0,0
"Journal of Advanced Nursing",0,0,1
"Journal of Affective Disorders",1,0,0
"Journal of Aggression Maltreatment and Trauma",1,0,1
"Journal of Aging and Health",1,0,0
"Journal of Aging and Physical Activity",1,1,0
"Journal of Aging and Social Policy",1,0,1
"Journal of Agricultural Biological and Environmental Statistics",1,0,1
"Journal of Agricultural and Applied Economics",1,1,1
"Journal of Agricultural and Food Industrial Organization",1,0,0
"Journal of Agricultural and Resource Economics",1,0,0
"Journal of Agriculture Food Systems and Community Development",1,0,1
"Journal of Agromedicine",0,0,1
"Journal of Allergy and Clinical Immunology: In Practice",1,0,1
"Journal of Alzheimer's Disease",0,0,1
"Journal of American College Health",1,0,0
"Journal of Appalachian health",0,0,1
"Journal of Applied Developmental Psychology",1,0,0
"Journal of Applied Gerontology",1,1,1
"Journal of Applied Rehabilitation Counseling",1,0,0
"Journal of Applied Statistics",1,0,0
"Journal of Arthroplasty",1,0,1
"Journal of Asthma",1,0,0
"Journal of Autism and Developmental Disorders",1,0,1
"Journal of Banking & Finance",0,0,1
"Journal of Banking and Finance",1,0,1
"Journal of Behavioral Health Services and Research",1,0,0
"Journal of Biomedical Research",1,0,1
"Journal of Bone and Joint Surgery - American Volume",1,0,0
"Journal of Burn Care & Research",0,0,1
"Journal of Business Venturing",0,0,1
"Journal of Cancer Education",1,1,1
"Journal of Cancer Survivorship",1,0,1
"Journal of Cataract and Refractive Surgery",1,0,0
"Journal of Child and Adolescent Psychopharmacology",0,0,1
"Journal of Child and Adolescent Substance Abuse",1,0,0
"Journal of Clinical Anesthesia",1,0,1
"Journal of Clinical Endocrinology and Metabolism",1,0,1
"Journal of Clinical Medicine",1,0,1
"Journal of Clinical Nursing",1,0,0
"Journal of Clinical Oncology",1,1,1
"Journal of Clinical Psychology",1,0,1
"Journal of Clinical and Translational Science",1,1,1
"Journal of Community Health",1,0,1
"Journal of Community Psychology",1,0,0
"Journal of Comparative Effectiveness Research",1,0,0
"Journal of Consumer Affairs",0,1,0
"Journal of Crime and Justice",1,0,0
"Journal of Criminal Justice",1,0,1
"Journal of Cross-Cultural Gerontology",0,0,1
"Journal of Dental Research",1,1,1
"Journal of Developmental & Behavioral Pediatrics",0,1,0
"Journal of Developmental and Behavioral Pediatrics",1,0,1
"Journal of Developmental and Physical Disabilities",1,0,0
"Journal of Diabetes Investigation",1,0,1
"Journal of Diabetes and its Complications",0,1,0
"Journal of Drug Issues",1,0,0
"Journal of Economic Geography",1,0,1
"Journal of Elder Abuse & Neglect",0,0,1
"Journal of Emergency and Critical Care Medicine",1,0,0
"Journal of Emotional and Behavioral Disorders",1,0,0
"Journal of Enterprising Communities",1,0,0
"Journal of Enterprising Communities People and Places in the Global Economy",0,0,1
"Journal of Entrepreneurship and Public Policy",0,0,1
"Journal of Environmental Planning and Management",1,0,1
"Journal of Environmental Psychology",1,0,1
"Journal of Environmental and Public Health",1,0,0
"Journal of Epidemiology and Community Health",1,0,0
"Journal of Evidence-Based Social Work",0,0,1
"Journal of Evolutionary Economics",0,0,1
"Journal of Extension",1,1,0
"Journal of Family Issues",1,0,1
"Journal of Family Violence",1,0,1
"Journal of Financial Economics",0,0,1
"Journal of Food Composition and Analysis",0,1,0
"Journal of Food Protection",1,0,0
"Journal of Foodservice Business Research",0,0,1
"Journal of Gastrointestinal Cancer",1,0,1
"Journal of Gastrointestinal Oncology",0,0,1
"Journal of Gastrointestinal Surgery",1,0,1
"Journal of General Internal Medicine",1,1,1
"Journal of Genetic Counseling",0,0,1
"Journal of Geriatric Oncology",1,0,1
"Journal of Gerontological Nursing",1,0,0
"Journal of Gerontological Social Work",1,0,1
"Journal of Health Care for the Poor and Underserved",1,1,1
"Journal of Health Communication",1,0,0
"Journal of Health Economics",0,0,1
"Journal of Health Organization and Management",1,0,1
"Journal of Health Politics Policy and Law",0,0,1
"Journal of Health Psychology",1,0,0
"Journal of Health and Social Behavior",1,0,1
"Journal of Health and Social Sciences",1,0,0
"Journal of Healthcare Management",1,0,0
"Journal of Homosexuality",1,0,0
"Journal of Hospice and Palliative Nursing",1,0,0
"Journal of Human Hypertension",0,0,1
"Journal of Human Lactation",1,0,1
"Journal of Human Sciences and Extension",0,1,0
"Journal of Hunger & Environmental Nutrition",0,1,1
"Journal of Hunger and Environmental Nutrition",1,0,1
"Journal of Hydrology",1,0,1
"Journal of International Agricultural and Extension Education",0,1,0
"Journal of Interpersonal Violence",1,1,1
"Journal of Land Use Science",1,1,1
"Journal of Law Medicine and Ethics",1,0,0
"Journal of Leisure Research",1,0,0
"Journal of Managed Care and Specialty Pharmacy",1,0,0
"Journal of Maps",1,0,1
"Journal of Maternal-Fetal and Neonatal Medicine",1,0,1
"Journal of Medical Internet Research",1,1,1
"Journal of Medical Systems",1,0,1
"Journal of Medical Virology",1,0,1
"Journal of Mental Health",0,0,1
"Journal of Midwifery and Women's Health",1,0,0
"Journal of Mood and Anxiety Disorders",0,0,1
"Journal of Neuro-Oncology",1,0,1
"Journal of Nursing Care Quality",1,0,0
"Journal of Nursing Measurement",1,1,0
"Journal of Nursing Regulation",1,0,0
"Journal of Nutrition",0,1,1
"Journal of Nutrition Education and Behavior",1,1,1
"Journal of Nutrition Health and Aging",1,0,1
"Journal of Nutrition in Gerontology and Geriatrics",1,0,1
"Journal of Nutritional Science",1,1,0
"Journal of Operations Management",1,0,0
"Journal of Opioid Management",1,0,0
"Journal of Paediatrics and Child Health",1,0,0
"Journal of Pain",0,0,1
"Journal of Pain and Symptom Management",1,0,1
"Journal of Palliative Medicine",1,0,1
"Journal of Peasant Studies",1,0,0
"Journal of Pediatric Nursing",1,0,1
"Journal of Pediatrics",1,0,1
"Journal of Personality",0,0,1
"Journal of Personality and Social Psychology",1,0,0
"Journal of Personalized Medicine",0,0,1
"Journal of Pharmacy Practice",1,0,1
"Journal of Physical Activity and Health",1,0,0
"Journal of Planning Education and Research",1,0,0
"Journal of Policy Analysis and Management",0,1,1
"Journal of Political Institutions and Political Economy",0,0,1
"Journal of Population Economics",0,0,1
"Journal of Prevention and Intervention in the Community",1,0,0
"Journal of Primary Care & Community Health",0,0,1
"Journal of Primary Care and Community Health",1,0,1
"Journal of Psychiatric Research",1,0,0
"Journal of Psychoactive Drugs",1,0,1
"Journal of Psychosomatic Research",1,0,0
"Journal of Public Child Welfare",1,0,0
"Journal of Public Economics",0,1,0
"Journal of Public Health",0,1,0
"Journal of Public Health (Germany)",1,0,0
"Journal of Public Health (United Kingdom)",1,0,1
"Journal of Public Health Dentistry",1,1,1
"Journal of Public Health Management and Practice",1,1,1
"Journal of Racial and Ethnic Health Disparities",1,0,1
"Journal of Radiotherapy in Practice",1,0,1
"Journal of Regional Science",1,0,1
"Journal of Religion and Health",1,0,1
"Journal of Research in Childhood Education",1,0,1
"Journal of Risk and Financial Management",1,0,1
"Journal of Robotic Surgery",1,0,0
"Journal of Rural Health",1,0,1
"Journal of Rural Studies",1,1,1
"Journal of School Health",1,0,1
"Journal of School Violence",0,0,1
"Journal of Scientific Innovation in Medicine",0,1,0
"Journal of Small Business Management",0,0,1
"Journal of Social Distress and the Homeless",0,0,1
"Journal of Social Service Research",1,0,0
"Journal of Social Work Practice in the Addictions",1,0,0
"Journal of Stroke and Cerebrovascular Diseases",0,0,1
"Journal of Studies on Alcohol and Drugs",1,0,0
"Journal of Substance Abuse Treatment",1,1,1
"Journal of Substance Use and Addiction Treatment",0,0,1
"Journal of Surgical Education",1,0,1
"Journal of Surgical Oncology",1,0,1
"Journal of Surgical Research",1,0,1
"Journal of Survey Statistics and Methodology",0,1,0
"Journal of Telemedicine and Telecare",1,0,1
"Journal of Thoracic Oncology",1,0,1
"Journal of Thoracic and Cardiovascular Surgery",0,0,1
"Journal of Transport & Health",0,0,1
"Journal of Transport Geography",0,0,1
"Journal of Transport and Health",1,0,1
"Journal of Trauma and Acute Care Surgery",1,0,1
"Journal of Urban Affairs",0,0,1
"Journal of Urban Economics",0,0,1
"Journal of Urban Health",0,1,0
"Journal of Urology",1,0,0
"Journal of Vascular Surgery",0,0,1
"Journal of Vascular and Interventional Radiology",0,0,1
"Journal of Water and Health",1,0,0
"Journal of the Academy of Nutrition and Dietetics",1,1,1
"Journal of the Agricultural and Applied Economics Association",0,0,1
"Journal of the American Academy of Audiology",1,0,0
"Journal of the American Academy of Child and Adolescent Psychiatry",1,0,1
"Journal of the American Academy of Dermatology",1,0,1
"Journal of the American Academy of Orthopaedic Surgeons",0,0,1
"Journal of the American Academy of Physician Assistants",1,0,0
"Journal of the American Board of Family Medicine",1,0,1
"Journal of the American College of Radiology",1,0,1
"Journal of the American College of Surgeons",1,0,1
"Journal of the American Dental Association",1,0,0
"Journal of the American Geriatrics Society",1,1,1
"Journal of the American Heart Association",1,0,1
"Journal of the American Medical Directors Association",1,1,1
"Journal of the American Medical Informatics Association",1,0,1
"Journal of the American Pharmacists Association",1,1,0
"Journal of the American Society of Nephrology",0,0,1
"Journal of the National Cancer Institute",1,0,1
"Journal of the Pediatric Infectious Diseases Society",1,0,1
"Journal of the Society for Social Work and Research",1,0,0
"Journalism Practice",1,0,0
"Journals of Gerontology - Series B Psychological Sciences and Social Sciences",1,0,1
"Justice Evaluation Journal",1,0,1
"Justice Opportunities and Rehabilitation",0,0,1
"KSCE Journal of Civil Engineering",1,0,0
"Labour Economics",0,0,1
"Lancet Regional Health - Americas",1,0,1
"Land",0,1,0
"Land Economics",0,1,0
"Land Use Policy",1,0,0
"Landscape and Urban Planning",1,0,1
"Laryngoscope",1,0,1
"Laryngoscope Investigative Otolaryngology",1,0,1
"Law and Society Review",1,0,0
"Leukemia and Lymphoma",1,0,1
"Local Development & Society",0,0,1
"Local Government Studies",1,0,1
"MMWR Surveillance Summaries",1,0,1
"Management Science",1,0,0
"Managerial and Decision Economics",1,0,1
"Managing Sport and Leisure",1,0,1
"Maternal and Child Health Journal",1,1,1
"Maternal and Child Nutrition",1,0,1
"Medical Care",1,1,1
"Medical Care Research and Review",1,0,1
"Medicine",0,0,1
"Medicine (United States)",1,0,0
"Metabolism: Clinical and Experimental",1,0,0
"Milbank Quarterly",1,1,1
"Military Behavioral Health",0,1,0
"Military Psychology",1,0,0
"Movement Disorders",1,0,1
"Multiple Sclerosis and Related Disorders",0,0,1
"Natural Hazards",1,0,1
"Natural Hazards Review",1,0,1
"Nature Communications",1,0,1
"Nature Water",0,1,1
"Naval Research Logistics (NRL)",0,1,0
"Neuro-Oncology",1,0,1
"Neurology",1,0,1
"Neurology Clinical Practice",0,0,1
"Neurology: Clinical Practice",1,0,0
"Neuropsychology",1,0,0
"New England Journal of Medicine",1,0,1
"Nicotine & Tobacco Research",0,1,1
"Nonprofit Management and Leadership",0,0,1
"Nonprofit and Voluntary Sector Quarterly",1,0,1
"North Carolina Medical Journal",1,1,0
"Nursing Forum",1,0,0
"Nursing Outlook",1,0,1
"Nursing Reports",1,0,1
"Nursing Research",1,1,0
"Nutrients",1,1,1
"Nutrition Journal",1,1,1
"OTO Open",1,0,1
"Obesity",1,1,1
"Obesity Research & Clinical Practice",0,0,1
"Obesity Reviews",0,0,1
"Obstetrics and Gynecology",1,0,1
"Oncology",0,0,1
"Oncology Nursing Forum",1,0,0
"One Health",1,0,0
"Online Journal of Rural Research & Policy",0,1,0
"Open Forum Infectious Diseases",1,0,1
"Open Journal of Obstetrics and Gynecology",0,0,1
"Operations Research Perspectives",1,0,1
"Ophthalmology",1,0,1
"Oral Oncology",1,0,1
"Otolaryngology - Head and Neck Surgery (United States)",1,0,1
"Otology & Neurotology",0,0,1
"Otology and Neurotology",1,0,0
"PEC Innovation",1,0,0
"PEDIATRICS",0,1,0
"PLOS Digital Health",0,0,1
"PLOS Global Public Health",0,1,1
"PLOS ONE",0,0,1
"PLoS Medicine",1,1,1
"PLoS ONE",1,1,1
"Pain Medicine (United States)",1,0,0
"Palliative & Supportive Care",0,0,1
"Papers in Applied Geography",1,0,0
"Papers of the Regional Science Association",0,0,1
"Pediatric Blood & Cancer",0,0,1
"Pediatric Dermatology",1,0,1
"Pediatric Obesity",1,0,1
"Pediatric Research",0,1,1
"Pediatrics",1,0,1
"Perioperative Care and Operating Room Management",1,0,0
"Perspectives in Public Health",0,0,1
"Physica A Statistical Mechanics and its Applications",0,0,1
"Physica A: Statistical Mechanics and its Applications",1,0,1
"Plastic & Reconstructive Surgery",0,1,0
"Police Practice and Research",0,0,1
"Political Analysis",0,0,1
