journal_title,Scopus only,OpenAlex Seed only,OpenAlex FT only,Dimensions only,Scopus ∩ OA Seed,Scopus ∩ OA FT,Scopus ∩ Dimensions,OA Seed ∩ OA FT,OA Seed ∩ Dimensions,OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT,Scopus ∩ OA Seed ∩ Dimensions,Scopus ∩ OA FT ∩ Dimensions,OA Seed ∩ OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT ∩ Dimensions
Academic Pediatrics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Agribusiness,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
American Indian Culture and Research Journal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Community Psychology,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blood,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cancer Epidemiology,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Child Abuse & Neglect,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Children,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Circulation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cogent Social Sciences,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Community Development,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Computers Environment and Urban Systems,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Earth s Future,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Earth system science data,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Economic Journal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Economic Modelling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endocrine Connections,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Energy Economics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Energy Research & Social Science,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Entrepreneurship and Regional Development,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Pollution,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fertility and Sterility,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Food Security,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frontiers in Sustainable Cities,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GeoJournal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Geospatial health,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Growth and Change,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Health & Place,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Health Equity,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HortScience,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HortTechnology,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Humanities and Social Sciences Communications,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ISEE Conference Abstracts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
International Forum of Allergy & Rhinology,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
International Journal of Behavioral Nutrition and Physica...,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JCO Oncology Practice,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JDS Communications,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JMIR Public Health and Surveillance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Applied Farm Economics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Clinical Oncology,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Community Health,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Economic Geography,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Entrepreneurship and Public Policy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Environmental Psychology,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Nutrition Education and Behavior,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Religion and Health,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Substance Abuse Treatment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of risk and financial management,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Academy of Nutrition and Dietetics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Landscape and Urban Planning,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Natural Hazards,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nature Water,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Online Journal of Rural Nursing and Health Care,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Online Journal of Rural Research & Policy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PLOS Global Public Health,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Population and Environment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Proceedings of the ACM on Human-Computer Interaction,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Proceedings of the National Academy of Sciences,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q Open,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RSF The Russell Sage Foundation Journal of the Social Sci...,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Resource and Energy Economics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Scientific Data,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Social Problems,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Social Sciences,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sociological Quarterly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Southern Economic Journal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Statistical Journal of the IAOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stats,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Substance Use & Misuse,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Telecommunications Policy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Journal of Urology,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vector-Borne and Zoonotic Diseases,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Weather Climate and Society,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
