journal_title,Scopus only,OpenAlex Seed only,OpenAlex FT only,Dimensions only,Scopus ∩ OA Seed,Scopus ∩ OA FT,Scopus ∩ Dimensions,OA Seed ∩ OA FT,OA Seed ∩ Dimensions,OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT,Scopus ∩ OA Seed ∩ Dimensions,Scopus ∩ OA FT ∩ Dimensions,OA Seed ∩ OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT ∩ Dimensions
Journal of Racial and Ethnic Health Disparities,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Renewable Agriculture and Food Systems,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Sustainability,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Translational Behavioral Medicine,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Agricultural and Resource Economics Review,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Appetite,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Family & Community Health,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Journal of Epidemiology and Global Health,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Journal of General Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Journal of Health Economics,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Journal of Policy Analysis and Management,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Preventive Medicine,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Review of Economics of the Household,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Agronomy Journal,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Annual Review of Resource Economics,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Advances in Nutrition,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
American Journal of Health Behavior,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
American Journal of Preventive Medicine,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Archives of Public Health,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Cities,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Current Developments in Nutrition,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Current Opinion in Pediatrics,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Disability and Health Journal,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Ecology of Food and Nutrition,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Educational and Psychological Measurement,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Food and Nutrition Bulletin,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Frontiers in Public Health,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Health Education Research,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Health Promotion Practice,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
International Journal of Development Issues,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Journal of Classification,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Journal of Community Health,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Journal of Economics Race and Policy,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Journal of Family and Economic Issues,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Journal of Hunger & Environmental Nutrition,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Land Economics,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Nutrition and Health,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Pediatrics,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Physiology and Behavior,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Population Health Management,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Public Health Reports,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
The B E Journal of Economic Analysis & Policy,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Agricultural & Environmental Letters,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Agricultural Economics,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
American Indian and Alaska Native Mental Health Research,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
European Review of Agricultural Economics,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Journal for the Anthropology of North America,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Journal of Nutritional Science,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Journal of Rural Studies,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Journal of Soil and Water Conservation,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Preventing Chronic Disease,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SSRN Electronic Journal,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Academic Pediatrics,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agricultural Systems,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Agronomy,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Annual Review of Nutrition,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Autism,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookings Papers on Economic Activity,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Child Development,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Child Indicators Research,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Circulation Research,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Circulation: Cardiovascular Quality and Outcomes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contemporary Clinical Trials,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Development and Psychopathology,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Diabetes Care,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Disability and health journal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Disaster Medicine and Public Health Preparedness,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology and Society,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Economics Letters,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Environmental Health Perspectives,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
European Economic Review,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Fiscal Studies,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forests,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Frontiers in Sociology,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Frontiers in Sustainable Food Systems,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Industry and Innovation,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
International Food and Agribusiness Management Review,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
International Regional Science Review,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMA Internal Medicine,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Aging and Health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Allergy and Clinical Immunology,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Journal of American College Health,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Journal of Applied Farm Economics,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Applied Gerontology,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Christian Nursing,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Journal of Family Issues,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Immigrant and Minority Health,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Journal of Parenteral and Enteral Nutrition,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Journal of Policy Modeling,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Journal of Public Affairs,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Journal of Social Service Research,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Journal of Student Research,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the National Cancer Institute,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Land Use Policy,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Local Environment,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MMWR Morbidity and Mortality Weekly Report,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Neuroimage: Reports,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Neurology,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
New Directions for Child and Adolescent Development,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Nutrients,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Nutrition Metabolism and Cardiovascular Diseases,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Nutrition Today,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PLOS ONE,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Pediatric Clinics of North America,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Pediatric Obesity,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Prevention Science,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Proceedings of the National Academy of Sciences of the Un...,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Professional Geographer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSF The Russell Sage Foundation Journal of the Social Sci...,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Scientific Reports,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Social Forces,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Social Indicators Research,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Social Science & Medicine,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Society and Mental Health,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Southern Economic Journal,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Southern Medical Journal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Annals of the American Academy of Political and Socia...,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cancer Journal,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
The Permanente Journal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Agribusiness,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Agricultural Research & Technology Open Access Journal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Agricultural and Food Economics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture and Food Security,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture and Human Values,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Agroecology and Sustainable Food Systems,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Economics and Sociology,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annals of Global Health,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Animal Science,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Applied Economics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta Studies,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BMC Geriatrics,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BMJ Open,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
British Food Journal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canadian Journal of Agricultural Economics/Revue canadien...,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Children and Youth Services Review,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computers and Electronics in Agriculture,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cureus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ecological Economics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ecological Modelling,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Research Letters,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Science & Policy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frontiers in Ecology and Evolution,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontiers in Environmental Science,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GCB Bioenergy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Health Behavior and Policy Review,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Healthcare (Switzerland),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heliyon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial and Systems Engineering Review,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
International Journal of Agriculture and Natural Resources,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JAMA Health Forum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JAMA Network Open,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JMIR Public Health and Surveillance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural & Food Industrial Organization,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural Extension and Rural Development,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Appalachian health,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Journal of Dairy Science,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Environmental Economics and Policy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Extension,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Official Statistics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Measurement: Journal of the International Measurement Con...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Path of Science,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Precision Agriculture,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Preventive Medicine Reports,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Proceeding Papers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceedings of The International Conference on Data Scien...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Remote Sensing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Research in Applied Economics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Scientific Data,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Social Sciences,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The International Food and Agribusiness Management Review,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Professional Animal Scientist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The journal of cotton science/Journal of cotton science,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Water Research,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
