id,run_id,alias_id,parent_alias_id,alias,alias_type,url,last_updated_date
15002,41,1001022,1001022,Chinese Apple Juice Export Growth Follows Investments in the Industry,Main,,1/25/2024 9:09:31 AM
15003,41,1001023,1001023,Choosing Healthy Foods Is More Challenging for Teens,Main,,1/25/2024 9:09:31 AM
15004,41,1001024,1001024,Contracting Expands for Field Crops,Main,,1/25/2024 9:09:31 AM
15005,41,1001025,1001025,Farmers Develop Strategies To Reduce Energy Input Costs,Main,,1/25/2024 9:09:31 AM
15006,41,1001026,1001026,Few Farms Participate in the Vegetable Planting Pilot Program,Main,,1/25/2024 9:09:31 AM
15007,41,1001027,1001027,Trade and Food Security Implications From the Indonesian Agricultural Experience,Main,,1/25/2024 9:09:31 AM
15008,41,1001028,1001028,Next-Generation Biofuels: Near-Term Challenges and Implications for Agriculture,Main,,1/25/2024 9:09:31 AM
15009,41,1001029,1001029,Assessing the Benefits of Public Research Within an Economic Framework: The Case of USDA's Agricultural Research Service,Main,,1/25/2024 9:09:31 AM
15010,41,1000103,1000103,Africa’s Agricultural Trade: Recent Trends Leading up to the African Continental Free Trade Area,Main,,1/25/2024 9:09:31 AM
15011,41,1001030,1001030,"Economics of Markets for Agricultural Greenhouse Gases, Fiscal 2010: Competitive Grants and Cooperative Agreements Program: Description and Application Process",Main,,1/25/2024 9:09:31 AM
15012,41,1001031,1001031,Children's Food Security and Intakes from School Meals: Final Report,Main,,1/25/2024 9:09:31 AM
15013,41,1001032,1001032,Geographic Targeting Issues in the Delivery of Rural Development Assistance,Main,,1/25/2024 9:09:31 AM
15014,41,1001033,1001033,"Indian Sugar Sector Cycles Down, Poised To Rebound",Main,,1/25/2024 9:09:31 AM
15015,41,1001034,1001034,Methodology Behind the Quarterly Food-at-Home Price Database,Main,,1/25/2024 9:09:31 AM
15016,41,1001035,1001035,Eating and Health Module User's Guide,Main,,1/25/2024 9:09:31 AM
15017,41,1001036,1001036,How Much Does Snap Reduce Food Insecurity?,Main,,1/25/2024 9:09:31 AM
15018,41,1001037,1001037,Cross-Price Elasticities of Demand Across 114 Countries,Main,,1/25/2024 9:09:31 AM
15019,41,1001038,1001038,Competitive Grant To Establish a Center for Behavioral Economics and Child Nutrition Research: Request for Applications,Main,,1/25/2024 9:09:31 AM
15020,41,1001039,1001039,Research Planning Grants To Support Application of Behavioral Economics in USDA's Child Nutrition Programs: Request for Applications,Main,,1/25/2024 9:09:31 AM
15021,41,1000104,1000104,Rural America at a Glance,Main,,1/25/2024 9:09:31 AM
15022,41,1001040,1001040,Energy Use in the U.S. Food System,Main,,1/25/2024 9:09:31 AM
15023,41,1001041,1001041,"Access to Affordable, Nutritious Food Is Limited in “Food Deserts”",Main,,1/25/2024 9:09:31 AM
15024,41,1001042,1001042,Americans Are More Realistic About the Quality of Their Diets,Main,,1/25/2024 9:09:31 AM
15025,41,1001043,1001043,Birth Year Affects Demand for At-Home Fresh Vegetables,Main,,1/25/2024 9:09:31 AM
15026,41,1001044,1001044,Declining Orange Consumption in Japan: Generational Changes or Something Else?,Main,,1/25/2024 9:09:31 AM
15027,41,1001045,1001045,"The Transformation of U.S. Livestock Agriculture: Scale, Efficiency, and Risks",Main,,1/25/2024 9:09:31 AM
15028,41,1001046,1001046,Fruit and Vegetable Consumption by Low-Income Americans: Would a Price Reduction Make a Difference?,Main,,1/25/2024 9:09:31 AM
15029,41,1001047,1001047,The Roles of Economists in the U.S. Department of Agriculture,Main,,1/25/2024 9:09:31 AM
15030,41,1001048,1001048,Colombia: A New Ethanol Producer on the Rise?,Main,,1/25/2024 9:09:31 AM
15031,41,1001049,1001049,Determinants of the Food Stamp Program Caseload,Main,,1/25/2024 9:09:31 AM
15032,41,1000105,1000105,Evaluating the Prediction Performance of the International Food Security Assessment’s Production Models: A Cross-Validation Approach,Main,,1/25/2024 9:09:31 AM
15033,41,1001050,1001050,Impact of the WIC Program on the Infant Formula Market,Main,,1/25/2024 9:09:31 AM
15034,41,1001051,1001051,Million-Dollar Farms in the New Century,Main,,1/25/2024 9:09:31 AM
15035,41,1001052,1001052,On the Accuracy of Nielsen Homescan Data,Main,,1/25/2024 9:09:31 AM
15036,41,1001053,1001053,A Comparison of Household Food Security in Canada and the United States,Main,,1/25/2024 9:09:31 AM
15037,41,1001054,1001054,Rising Food Prices Take a Bite Out of Food Stamp Benefits,Main,,1/25/2024 9:09:31 AM
15038,41,1001055,1001055,Behavioral Economic Concepts To Encourage Healthy Eating in School Cafeterias: Experiments and Lessons From College Students,Main,,1/25/2024 9:09:31 AM
15039,41,1001056,1001056,2008 Farm Act Makes It Easier for Food Assistance Households To Save,Main,,1/25/2024 9:09:31 AM
15040,41,1001057,1001057,A Pilot Program for U.S. Food Aid,Main,,1/25/2024 9:09:31 AM
15041,41,1001058,1001058,Can Low-Income Americans Afford a Healthy Diet?,Main,,1/25/2024 9:09:31 AM
15042,41,1001059,1001059,Child Health and Well-Being Differ for Metro and Nonmetro Low-Income Households,Main,,1/25/2024 9:09:31 AM
15043,41,1000106,1000106,Farm Households’ Consumption of Market Facilitation Payments Differed by Farm Type and Year,Main,,1/25/2024 9:09:31 AM
15044,41,1001060,1001060,Conservation Program Provision May Have Limited Impact on Underserved Farmer Participation,Main,,1/25/2024 9:09:31 AM
15045,41,1001061,1001061,Conservation Reserve Program Acreage To Decline; Will Benefits Also Fall?,Main,,1/25/2024 9:09:31 AM
15046,41,1001062,1001062,Data Feature,Main,,1/25/2024 9:09:31 AM
15047,41,1001063,1001063,Small Farms in the United States: Persistence Under Pressure,Main,,1/25/2024 9:09:31 AM
15048,41,1001064,1001064,The Impact of Food Away From Home on Adult Diet Quality,Main,,1/25/2024 9:09:31 AM
15049,41,1001065,1001065,Farm Household Well-Being: Comparing Consumption- and Income-Based Measures,Main,,1/25/2024 9:09:31 AM
15050,41,1001066,1001066,"Food Assistance and Nutrition Research Program, Fiscal 2010, Competitive Grants and Cooperative Agreements Program: Description and Application Process",Main,,1/25/2024 9:09:31 AM
15051,41,1001067,1001067,Diet Quality of School-Age Children in the U.S. and Association With Participation in the School Meal Programs,Main,,1/25/2024 9:09:31 AM
15052,41,1001068,1001068,Peanut Outlook: Impacts of the 2008-09 Foodborne Illness Outbreak Linked to Salmonella in Peanuts,Main,,1/25/2024 9:09:31 AM
15053,41,1001069,1001069,Factors Influencing ACRE Program Enrollment,Main,,1/25/2024 9:09:31 AM
15054,41,1000107,1000107,"Food Insecurity Decreased for U.S. Households With Children in 2021, but Increased for Households Without Children",Main,,1/25/2024 9:09:31 AM
15055,41,1001070,1001070,Request for Applications for Competitive Grant Awards to Conduct Economic Research on the Joint Contributions of the Supplemental Nutrition Assistance Program and Unemployment Insurance to the Nation's Social Safety Net,Main,,1/25/2024 9:09:31 AM
15056,41,1001071,1001071,Growth and Equity Effects of Agricultural Marketing Efficiency Gains in India,Main,,1/25/2024 9:09:31 AM
15057,41,1001072,1001072,The Consumer Data and Information Program: Sowing The Seeds of Research,Main,,1/25/2024 9:09:31 AM
15058,41,1001073,1001073,"Participation in Conservation Programs by Targeted Farmers: Beginning, Limited-Resource, and Socially Disadvantaged Operators' Enrollment Trends",Main,,1/25/2024 9:09:31 AM
15059,41,1001074,1001074,Meeting Total Fat Requirements for School Lunches: Influence of School Policies and Characteristics,Main,,1/25/2024 9:09:31 AM
15060,41,1001075,1001075,Tribal Food Assistance: A Comparison of the Food Distribution Program on Indian Reservations (FDPIR) and the Supplemental Nutrition Assistance Program (SNAP),Main,,1/25/2024 9:09:31 AM
15061,41,1001076,1001076,Broiler Producers Search for Alternatives to Antibiotics,Main,,1/25/2024 9:09:31 AM
15062,41,1001077,1001077,Cellulosic Ethanol From Crop Residue Is No Free Lunch?,Main,,1/25/2024 9:09:31 AM
15063,41,1001078,1001078,Land Use Can Play Critical Role in Controlling Global Warming,Main,,1/25/2024 9:09:31 AM
15064,41,1001079,1001079,"Larger Farms, Environmental Policy Affecting Manure Management",Main,,1/25/2024 9:09:31 AM
15065,41,1000108,1000108,Use of Federal Risk Management Programs Varies Widely by Specialty Crop,Main,,1/25/2024 9:09:31 AM
15066,41,1001080,1001080,On The Map: Highest Mortality Rates in the South,Main,,1/25/2024 9:09:31 AM
15067,41,1001081,1001081,Price Reductions Have Little Effect on Fruit and Vegetable Consumption by Low-Income Americans,Main,,1/25/2024 9:09:31 AM
15068,41,1001082,1001082,Random Inspections Reveal Import Risks,Main,,1/25/2024 9:09:31 AM
15069,41,1001083,1001083,Rising Wheat Prices Outpace Input Costs,Main,,1/25/2024 9:09:31 AM
15070,41,1001084,1001084,Taking the Pulse of Rural Health Care,Main,,1/25/2024 9:09:31 AM
15071,41,1001085,1001085,"Trade Data Show Value, Variety, and Sources of U.S. Food Imports",Main,,1/25/2024 9:09:31 AM
15072,41,1001086,1001086,What the 2008/2009 World Economic Crisis Means for Global Agricultural Trade,Main,,1/25/2024 9:09:31 AM
15073,41,1001087,1001087,Broadband Internet's Value for Rural America,Main,,1/25/2024 9:09:31 AM
15074,41,1001088,1001088,Health Status and Health Care Access of Farm and Rural Populations,Main,,1/25/2024 9:09:31 AM
15075,41,1001089,1001089,Baby Boom Migration and Its Impact on Rural America,Main,,1/25/2024 9:09:31 AM
15076,41,1000109,1000109,"COVID-19 Working Paper: Migration, Local Mobility, and the Spread of COVID-19 in Rural America",Main,,1/25/2024 9:09:31 AM
15077,41,1001090,1001090,"U.S. Food Import Patterns, 1998-2007",Main,,1/25/2024 9:09:31 AM
15078,41,1001091,1001091,"Issues and Prospects in Corn, Soybeans, and Wheat Futures Markets",Main,,1/25/2024 9:09:31 AM
15079,41,1001092,1001092,"Effects of Economic Conditions and Program Policy on State Food Stamp Program Caseloads, 2000 to 2006",Main,,1/25/2024 9:09:31 AM
15080,41,1001093,1001093,"Low-Income Women's Experiences With Food Programs, Food Spending, and Food-Related Hardships: Evidence From Qualitative Data",Main,,1/25/2024 9:09:31 AM
15081,41,1001094,1001094,Trade and Development When Exports Lack Diversification: A Case Study from Malawi,Main,,1/25/2024 9:09:31 AM
15082,41,1001095,1001095,Food Policy:  Check the List of Ingredients,Main,,1/25/2024 9:09:31 AM
15083,41,1001096,1001096,How Tightly Has China Embraced  Market Reforms in Agriculture?,Main,,1/25/2024 9:09:31 AM
15084,41,1001097,1001097,"In the Long Run: Markets, Policies, and Weather Contribute to Disparities in Value of Crop and Livestock Production",Main,,1/25/2024 9:09:31 AM
15085,41,1001098,1001098,Indicators- Amber Waves - June 2009,Main,,1/25/2024 9:09:31 AM
15086,41,1001099,1001099,Nonmetro Areas Showing the Effects of the Economic Downturns,Main,,1/25/2024 9:09:31 AM
15087,41,1000011,1000011,Global Fertilizer Market Challenged by Russia’s Invasion of Ukraine,Main,,1/25/2024 9:09:31 AM
15088,41,1000110,1000110,Rotational Grazing Adoption by Cow-Calf Operations,Main,,1/25/2024 9:09:31 AM
15089,41,1001100,1001100,On The Map: Unemployment Rate Highest in Michigan,Main,,1/25/2024 9:09:31 AM
15090,41,1001101,1001101,Rising Food Prices and Economic Uncertainty Take Toll on Traditional Grocers,Main,,1/25/2024 9:09:31 AM
15091,41,1001102,1001102,Russia’s Surge in Agricultural Imports Comes to a Halt,Main,,1/25/2024 9:09:31 AM
15092,41,1001103,1001103,Scenic Landscapes Enhance  Rural Growth,Main,,1/25/2024 9:09:31 AM
15093,41,1001104,1001104,Some Households Leaving SNAP Still Face Food Shortfalls,Main,,1/25/2024 9:09:31 AM
15094,41,1001105,1001105,Beginning Farmers and Ranchers,Main,,1/25/2024 9:09:31 AM
15095,41,1001106,1001106,Federal Tax Policies and Farm Households,Main,,1/25/2024 9:09:31 AM
15096,41,1001107,1001107,Russia's Growing Agricultural Imports: Causes and Outlook,Main,,1/25/2024 9:09:31 AM
15097,41,1001108,1001108,Factors Behind the Rise in Global Rice Prices in 2008,Main,,1/25/2024 9:09:31 AM
15098,41,1001109,1001109,Variable Effects of Earnings Volatility on Food Stamp Participation,Main,,1/25/2024 9:09:31 AM
15099,41,1000111,1000111,U.S. Agricultural Output Has Grown Slower in Response to Stagnant Productivity Growth,Main,,1/25/2024 9:09:31 AM
15100,41,1001110,1001110,"The WIC Program: Background, Trends, and Economic Issues, 2009 Edition",Main,,1/25/2024 9:09:31 AM
15101,41,1001111,1001111,China's Ongoing Agricultural Modernization: Challenges Remain After 30 Years of Reform,Main,,1/25/2024 9:09:31 AM
15102,41,1001112,1001112,Economic Aspects of Revenue-Based Commodity Support,Main,,1/25/2024 9:09:31 AM
15103,41,1001113,1001113,An Illustrated Guide to Research Findings from USDA's Economic Research Service,Main,,1/25/2024 9:09:31 AM
15104,41,1001114,1001114,Fluctuating Food Commodity Prices: A Complex Issue With No Easy Answers,Main,,1/25/2024 9:09:31 AM
15105,41,1001115,1001115,In the Long Run: How Much Does Participation in the Food Stamp Program Reflect Economic Trends?,Main,,1/25/2024 9:09:31 AM
15106,41,1001116,1001116,Lasting Influence of BSE on U.S. Protein Feed Markets,Main,,1/25/2024 9:09:31 AM
15107,41,1001117,1001117,Market Failures: When the Invisible Hand Gets Shaky,Main,,1/25/2024 9:09:31 AM
15108,41,1001118,1001118,New Market Realities Affect Crop  Program Choices,Main,,1/25/2024 9:09:31 AM
15109,41,1001119,1001119,"New Payment Limits, Lower Income Cap Unlikely To Have Significant Impact",Main,,1/25/2024 9:09:31 AM
15110,41,1000112,1000112,People Working From Home During the Pandemic Spent Less Time Eating Away From Home,Main,,1/25/2024 9:09:31 AM
15111,41,1001120,1001120,Stabilizing Federal Support for Emergency Food Providers,Main,,1/25/2024 9:09:31 AM
15112,41,1001121,1001121,Simulated Effects of Changes to State and Federal Asset Eligibility Policies for the Food Stamp Program,Main,,1/25/2024 9:09:31 AM
15113,41,1001122,1001122,Economic Measures of Soil Conservation Benefits: Regional Values for Policy Assessment,Main,,1/25/2024 9:09:31 AM
15114,41,1001123,1001123,Integrating Invasive Species Prevention And Control Policies,Main,,1/25/2024 9:09:31 AM
15115,41,1001124,1001124,Canned Fruit and Vegetable Consumption in the United States: A Report to the United States Congress,Main,,1/25/2024 9:09:31 AM
15116,41,1001125,1001125,Food Safety and Imports: An Analysis of FDA Import Refusal Reports,Main,,1/25/2024 9:09:31 AM
15117,41,1001126,1001126,Economic Impacts of Feed-Related Regulatory Responses to Bovine Spongiform Encephalopathy,Main,,1/25/2024 9:09:31 AM
15118,41,1001127,1001127,The Use of Markets To Increase Private Investment in Environmental Stewardship,Main,,1/25/2024 9:09:31 AM
15119,41,1001128,1001128,Disability Is an Important Risk Factor for Food Insecurity,Main,,1/25/2024 9:09:31 AM
15120,41,1001129,1001129,Education's Role in the Metro-Nonmetro Earnings Divide,Main,,1/25/2024 9:09:31 AM
15121,41,1000113,1000113,COVID-19 Working Paper: The COVID-19 Pandemic and Changes in Greenfield Foreign Direct Investment in Africa,Main,,1/25/2024 9:09:31 AM
15122,41,1001130,1001130,High-Fructose Corn Syrup Usage May Be Leveling Off,Main,,1/25/2024 9:09:31 AM
15123,41,1001131,1001131,"Hog Operations Increasingly Large, More Specialized",Main,,1/25/2024 9:09:31 AM
15124,41,1001132,1001132,Land Retirement Programs May Induce Enduring Land-Use Changes,Main,,1/25/2024 9:09:31 AM
15125,41,1001133,1001133,Record Levels of Cash Receipts and Income Forecast in 2008,Main,,1/25/2024 9:09:31 AM
15126,41,1001134,1001134,Rising Food Prices Intensify Food Insecurity in Developing Countries,Main,,1/25/2024 9:09:31 AM
15127,41,1001135,1001135,Stronger Canadian Dollar Puts Pressure on Canada’s Pork Industry,Main,,1/25/2024 9:09:31 AM
15128,41,1001136,1001136,ERS Bioenergy Information and Research,Main,,1/25/2024 9:09:31 AM
15129,41,1001137,1001137,The 2002 Farm Bill: Provisions and Economic Implications,Main,,1/25/2024 9:09:31 AM
15130,41,1001138,1001138,Effect of State Food Stamp and TANF Policies on Food Stamp Program Participation,Main,,1/25/2024 9:09:31 AM
15131,41,1001139,1001139,Are Lower Income Households Willing and Able To Budget for Fruits and Vegetables?,Main,,1/25/2024 9:09:31 AM
15132,41,1000114,1000114,Foreign Direct Investment in Africa: Recent Trends Leading up to the African Continental Free Trade Area (AfCFTA),Main,,1/25/2024 9:09:31 AM
15133,41,1001140,1001140,Farm-Based Recreation: A Statistical Profile,Main,,1/25/2024 9:09:31 AM
15134,41,1001141,1001141,"Characteristics and Production Costs of U.S. Hog Farms, 2004",Main,,1/25/2024 9:09:31 AM
15135,41,1001142,1001142,Integrating Conservation and Commodity Program Payments: A Look at the Tradeoffs,Main,,1/25/2024 9:09:31 AM
15136,41,1001143,1001143,Nearly Half of Sales Come From Million-Dollar Farms,Main,,1/25/2024 9:09:31 AM
15137,41,1001144,1001144,Stronger Currency Boosts Chinese Purchasing Power,Main,,1/25/2024 9:09:31 AM
15138,41,1001145,1001145,The Future of Biofuels: A Global Perspective,Main,,1/25/2024 9:09:31 AM
15139,41,1001146,1001146,Tight Supply and Strong Demand May Raise U.S. Fertilizer Prices,Main,,1/25/2024 9:09:31 AM
15140,41,1001147,1001147,Integrating Commodity and Conservation Programs: Design Options and Outcomes,Main,,1/25/2024 9:09:31 AM
15141,41,1001148,1001148,How Highly Pathogenic Avian Influenza (H5N1) Has Affected World Poultry-Meat Trade,Main,,1/25/2024 9:09:31 AM
15142,41,1001149,1001149,Can Food Stamps Do More To Improve Food Choices? An Economic Perspective,Main,,1/25/2024 9:09:31 AM
15143,41,1000115,1000115,Higher Retail Meat Prices Reduced Household Economic Well-Being During the COVID-19 Pandemic,Main,,1/25/2024 9:09:31 AM
15144,41,1001150,1001150,Can Food Stamps Do More to Improve Food Choices? An Economic Perspective-Making Healthy Food Choices Easier: Ideas From Behavioral Economics,Main,,1/25/2024 9:09:31 AM
15145,41,1001151,1001151,Can Food Stamps Do More to Improve Food Choices? An Economic Perspective-Stretching the Food Stamp Dollar: Regional Price Differences Affect Affordability of Food,Main,,1/25/2024 9:09:31 AM
15146,41,1001152,1001152,"Beef Production, Markets, and Trade in Argentina and Uruguay: An Overview",Main,,1/25/2024 9:09:31 AM
15147,41,1001153,1001153,Food and Nutrition Assistance Programs and Obesity: 1976-2002,Main,,1/25/2024 9:09:31 AM
15148,41,1001154,1001154,An Assessment of the Impact of Medicaid Managed Care on WIC Program Coordination With Primary Care Services,Main,,1/25/2024 9:09:31 AM
15149,41,1001155,1001155,An Online Cost Calculator for Estimating the Economic Cost of Illness Due to Shiga Toxin-Producing E. coli (STEC) O157 Infections,Main,,1/25/2024 9:09:31 AM
15150,41,1001156,1001156,Why Has Japan’s Orange Market Declined?,Main,,1/25/2024 9:09:31 AM
15151,41,1001157,1001157,"Dietary Assessment of Major Trends in U.S. Food Consumption, 1970-2005",Main,,1/25/2024 9:09:31 AM
15152,41,1001158,1001158,Food Stamps and Obesity: What Do We Know?,Main,,1/25/2024 9:09:31 AM
15153,41,1001159,1001159,Convergence in Global Food Demand and Delivery,Main,,1/25/2024 9:09:31 AM
15154,41,1000116,1000116,Rural Tanzanians Turn to Processed Food and Meals Away From Home as Incomes Rise and Employment Patterns Shift,Main,,1/25/2024 9:09:31 AM
15155,41,1001160,1001160,"Price Trends Are Similar for Fruits, Vegetables, and Snack Foods",Main,,1/25/2024 9:09:31 AM
15156,41,1001161,1001161,Household Food Security and Tradeoffs in the Food Budget of Food Stamp Program Participants: An Engel Function Approach,Main,,1/25/2024 9:09:31 AM
15157,41,1001162,1001162,"Program of Research on the Economics of Invasive Species Management, Fiscal 2008, Competitive Award Program: Description and Application Process",Main,,1/25/2024 9:09:31 AM
15158,41,1001163,1001163,Sources of Variation in State-Level Food Stamp Participation Rates,Main,,1/25/2024 9:09:31 AM
15159,41,1001164,1001164,Equilibrium Displacement Mathematical Programming Models: Methodology and a Model of the U.S. Agricultural Sector,Main,,1/25/2024 9:09:31 AM
15160,41,1001165,1001165,ERS Bioenergy Research Plans,Main,,1/25/2024 9:09:31 AM
15161,41,1001166,1001166,ERS Bioenergy Research Plans 2008-09,Main,,1/25/2024 9:09:31 AM
15162,41,1001167,1001167,Agricultural Research Sustains Productivity Growth and Earns High Returns,Main,,1/25/2024 9:09:31 AM
15163,41,1001168,1001168,Agritourism Offers Opportunities For Farm Operators,Main,,1/25/2024 9:09:31 AM
15164,41,1001169,1001169,Canadian Dollar Reaches Parity With U.S. Dollar,Main,,1/25/2024 9:09:31 AM
15165,41,1000117,1000117,Do Free Trade Agreements Benefit Developing Countries? An Examination of U.S. Agreements,Main,,1/25/2024 9:09:31 AM
15166,41,1001170,1001170,Converging Patterns in Global Food Consumption and Food Delivery Systems,Main,,1/25/2024 9:09:31 AM
15167,41,1001171,1001171,"Corn Prices Near Record High, But What About Food Costs?",Main,,1/25/2024 9:09:31 AM
15168,41,1001172,1001172,WIC and the Battle Against Childhood Overweight,Main,,1/25/2024 9:09:31 AM
15169,41,1001173,1001173,Changes in Manure Management in the Hog Sector: 1998-2004,Main,,1/25/2024 9:09:31 AM
15170,41,1001174,1001174,NAFTA at 15: Building on Free Trade,Main,,1/25/2024 9:09:31 AM
15171,41,1001175,1001175,"U.S. Public Agricultural Research: Changes in Funding Sources and Shifts in Emphasis, 1980-2005",Main,,1/25/2024 9:09:31 AM
15172,41,1001176,1001176,The 2008/2009 World Economic Crisis: What It Means for U.S. Agriculture,Main,,1/25/2024 9:09:31 AM
15173,41,1001177,1001177,State Variations in the Food Stamp Benefit Reduction Rate for Earnings: Cross-Program Effects from TANF and SSI Cash Assistance,Main,,1/25/2024 9:09:31 AM
15174,41,1001178,1001178,Exploring Alternative Farm Definitions: Implications for Agricultural Statistics and Program Eligibility,Main,,1/25/2024 9:09:31 AM
15175,41,1001179,1001179,"Supermarket Loss Estimates for Fresh Fruit, Vegetables, Meat, Poultry, and Seafood and Their Use in the ERS Loss-Adjusted Food Availability Data",Main,,1/25/2024 9:09:31 AM
15176,41,1000118,1000118,Brazil’s Momentum as a Global Agricultural Supplier Faces Headwinds,Main,,1/25/2024 9:09:31 AM
15177,41,1001180,1001180,Fiber Use for Textiles and China's Cotton Textile Exports,Main,,1/25/2024 9:09:31 AM
15178,41,1001181,1001181,Economic Linkages Between the WIC Program and the Farm Sector,Main,,1/25/2024 9:09:31 AM
15179,41,1001182,1001182,Agricultural Commodity Price Spikes in the 1970s and 1990s: Valuable Lessons for Today,Main,,1/25/2024 9:09:31 AM
15180,41,1001183,1001183,Agriculture and Water Quality Trading: Exploring the Possibilities,Main,,1/25/2024 9:09:31 AM
15181,41,1001184,1001184,Colombia Becoming a New Ethanol Player,Main,,1/25/2024 9:09:31 AM
15182,41,1001185,1001185,Consumers Willing To Pay a Premium for Organic Produce,Main,,1/25/2024 9:09:31 AM
15183,41,1001186,1001186,Farm Income Expected to Decline in 2009,Main,,1/25/2024 9:09:31 AM
